case_group,case,level,bucket,count,pct
2xxx,case_ACTIVSg2000,11,49-64,2,40.00
2xxx,case_ACTIVSg2000,11,65-80,1,20.00
2xxx,case_ACTIVSg2000,12,17-32,1,20.00
2xxx,case_ACTIVSg2000,12,33-48,1,20.00
2xxx,case_ACTIVSg2000,12,49-64,2,40.00
2xxx,case_ACTIVSg2000,12,65-80,1,20.00
2xxx,case_ACTIVSg2000,13,33-48,1,33.33
2xxx,case_ACTIVSg2000,13,49-64,2,66.67
2xxx,case_ACTIVSg2000,14,33-48,1,33.33
2xxx,case_ACTIVSg2000,14,49-64,2,66.67
2xxx,case_ACTIVSg2000,15,33-48,2,100.00
2xxx,case_ACTIVSg2000,16,33-48,1,50.00
2xxx,case_ACTIVSg2000,16,49-64,1,50.00
2xxx,case_ACTIVSg2000,17,17-32,1,50.00
2xxx,case_ACTIVSg2000,17,33-48,1,50.00
2xxx,case_ACTIVSg2000,18,33-48,2,100.00
2xxx,case_ACTIVSg2000,19,17-32,1,50.00
2xxx,case_ACTIVSg2000,19,33-48,1,50.00
2xxx,case_ACTIVSg2000,20,17-32,1,100.00
2xxx,case_ACTIVSg2000,21,17-32,1,100.00
2xxx,case_ACTIVSg2000,22,9-16,1,100.00
2xxx,case_ACTIVSg2000,23,<=8,1,100.00
3xxx,case3012wp,0,<=8,1400,99.01
3xxx,case3012wp,0,9-16,14,0.99
3xxx,case3012wp,1,<=8,624,96.74
3xxx,case3012wp,1,9-16,21,3.26
3xxx,case3012wp,2,<=8,305,91.87
3xxx,case3012wp,2,9-16,26,7.83
3xxx,case3012wp,2,17-32,1,0.30
3xxx,case3012wp,3,<=8,120,76.43
3xxx,case3012wp,3,9-16,34,21.66
3xxx,case3012wp,3,17-32,3,1.91
3xxx,case3012wp,4,<=8,43,46.24
3xxx,case3012wp,4,9-16,44,47.31
3xxx,case3012wp,4,17-32,6,6.45
3xxx,case3012wp,5,<=8,14,29.17
3xxx,case3012wp,5,9-16,28,58.33
3xxx,case3012wp,5,17-32,6,12.50
3xxx,case3012wp,6,<=8,4,13.79
3xxx,case3012wp,6,9-16,13,44.83
3xxx,case3012wp,6,17-32,11,37.93
3xxx,case3012wp,6,33-48,1,3.45
3xxx,case3012wp,7,9-16,6,40.00
3xxx,case3012wp,7,17-32,7,46.67
3xxx,case3012wp,7,33-48,2,13.33
3xxx,case3012wp,8,17-32,10,90.91
3xxx,case3012wp,8,33-48,1,9.09
3xxx,case3012wp,9,17-32,6,85.71
3xxx,case3012wp,9,33-48,1,14.29
3xxx,case3012wp,10,17-32,3,50.00
3xxx,case3012wp,10,33-48,3,50.00
3xxx,case3012wp,11,17-32,3,60.00
3xxx,case3012wp,11,33-48,2,40.00
3xxx,case3012wp,12,17-32,1,50.00
3xxx,case3012wp,12,33-48,1,50.00
3xxx,case3012wp,13,17-32,1,50.00
3xxx,case3012wp,13,33-48,1,50.00
3xxx,case3012wp,14,33-48,1,100.00
3xxx,case3012wp,15,33-48,1,100.00
3xxx,case3012wp,16,17-32,1,100.00
3xxx,case3012wp,17,17-32,1,100.00
3xxx,case3012wp,18,17-32,1,100.00
3xxx,case3012wp,19,9-16,1,100.00
3xxx,case3012wp,20,<=8,1,100.00
6xxx,case6468rte,0,<=8,3467,99.23
6xxx,case6468rte,0,9-16,27,0.77
6xxx,case6468rte,1,<=8,1201,95.09
6xxx,case6468rte,1,9-16,62,4.91
6xxx,case6468rte,2,<=8,423,80.27
6xxx,case6468rte,2,9-16,102,19.35
6xxx,case6468rte,2,17-32,2,0.38
6xxx,case6468rte,3,<=8,136,53.33
6xxx,case6468rte,3,9-16,110,43.14
6xxx,case6468rte,3,17-32,9,3.53
6xxx,case6468rte,4,<=8,48,34.04
6xxx,case6468rte,4,9-16,72,51.06
6xxx,case6468rte,4,17-32,20,14.18
6xxx,case6468rte,4,33-48,1,0.71
6xxx,case6468rte,5,<=8,7,10.29
6xxx,case6468rte,5,9-16,32,47.06
6xxx,case6468rte,5,17-32,28,41.18
6xxx,case6468rte,5,33-48,1,1.47
6xxx,case6468rte,6,<=8,1,2.44
6xxx,case6468rte,6,9-16,16,39.02
6xxx,case6468rte,6,17-32,23,56.10
6xxx,case6468rte,6,33-48,1,2.44
6xxx,case6468rte,7,9-16,2,6.45
6xxx,case6468rte,7,17-32,27,87.10
6xxx,case6468rte,7,33-48,2,6.45
6xxx,case6468rte,8,17-32,14,77.78
6xxx,case6468rte,8,33-48,4,22.22
6xxx,case6468rte,9,17-32,9,64.29
6xxx,case6468rte,9,33-48,5,35.71
6xxx,case6468rte,10,17-32,2,20.00
6xxx,case6468rte,10,33-48,7,70.00
6xxx,case6468rte,10,49-64,1,10.00
6xxx,case6468rte,11,17-32,2,25.00
6xxx,case6468rte,11,33-48,4,50.00
6xxx,case6468rte,11,49-64,2,25.00
6xxx,case6468rte,12,17-32,1,20.00
6xxx,case6468rte,12,33-48,3,60.00
6xxx,case6468rte,12,49-64,1,20.00
6xxx,case6468rte,13,33-48,4,80.00
6xxx,case6468rte,13,49-64,1,20.00
6xxx,case6468rte,14,33-48,2,66.67
6xxx,case6468rte,14,49-64,1,33.33
6xxx,case6468rte,15,33-48,1,50.00
6xxx,case6468rte,15,49-64,1,50.00
6xxx,case6468rte,16,49-64,2,100.00
6xxx,case6468rte,17,33-48,2,100.00
6xxx,case6468rte,18,33-48,1,100.00
6xxx,case6468rte,19,33-48,1,100.00
6xxx,case6468rte,20,17-32,1,100.00
6xxx,case6468rte,21,17-32,1,100.00
6xxx,case6468rte,22,9-16,1,100.00
6xxx,case6468rte,23,<=8,1,100.00
8xxx,case8387pegase,0,<=8,4049,99.05
8xxx,case8387pegase,0,9-16,38,0.93
8xxx,case8387pegase,0,17-32,1,0.02
8xxx,case8387pegase,1,<=8,1425,94.43
8xxx,case8387pegase,1,9-16,80,5.30
8xxx,case8387pegase,1,17-32,4,0.27
8xxx,case8387pegase,2,<=8,601,82.78
8xxx,case8387pegase,2,9-16,116,15.98
8xxx,case8387pegase,2,17-32,8,1.10
8xxx,case8387pegase,2,33-48,1,0.14
8xxx,case8387pegase,3,<=8,247,64.66
8xxx,case8387pegase,3,9-16,120,31.41
8xxx,case8387pegase,3,17-32,14,3.66
8xxx,case8387pegase,3,33-48,1,0.26
8xxx,case8387pegase,4,<=8,110,43.65
8xxx,case8387pegase,4,9-16,113,44.84
8xxx,case8387pegase,4,17-32,28,11.11
8xxx,case8387pegase,4,49-64,1,0.40
8xxx,case8387pegase,5,<=8,38,26.57
8xxx,case8387pegase,5,9-16,72,50.35
8xxx,case8387pegase,5,17-32,31,21.68
8xxx,case8387pegase,5,33-48,1,0.70
8xxx,case8387pegase,5,65-80,1,0.70
8xxx,case8387pegase,6,<=8,11,12.22
8xxx,case8387pegase,6,9-16,38,42.22
8xxx,case8387pegase,6,17-32,38,42.22
8xxx,case8387pegase,6,33-48,2,2.22
8xxx,case8387pegase,6,65-80,1,1.11
8xxx,case8387pegase,7,<=8,2,3.45
8xxx,case8387pegase,7,9-16,20,34.48
8xxx,case8387pegase,7,17-32,30,51.72
8xxx,case8387pegase,7,33-48,5,8.62
8xxx,case8387pegase,7,65-80,1,1.72
8xxx,case8387pegase,8,9-16,14,32.56
8xxx,case8387pegase,8,17-32,22,51.16
8xxx,case8387pegase,8,33-48,6,13.95
8xxx,case8387pegase,8,65-80,1,2.33
8xxx,case8387pegase,9,<=8,1,3.03
8xxx,case8387pegase,9,9-16,6,18.18
8xxx,case8387pegase,9,17-32,21,63.64
8xxx,case8387pegase,9,33-48,3,9.09
8xxx,case8387pegase,9,49-64,2,6.06
8xxx,case8387pegase,10,<=8,2,9.09
8xxx,case8387pegase,10,9-16,7,31.82
8xxx,case8387pegase,10,17-32,8,36.36
8xxx,case8387pegase,10,33-48,4,18.18
8xxx,case8387pegase,10,49-64,1,4.55
8xxx,case8387pegase,11,9-16,2,15.38
8xxx,case8387pegase,11,17-32,7,53.85
8xxx,case8387pegase,11,33-48,3,23.08
8xxx,case8387pegase,11,49-64,1,7.69
8xxx,case8387pegase,12,9-16,1,10.00
8xxx,case8387pegase,12,17-32,6,60.00
8xxx,case8387pegase,12,33-48,2,20.00
8xxx,case8387pegase,12,49-64,1,10.00
8xxx,case8387pegase,13,9-16,1,11.11
8xxx,case8387pegase,13,17-32,5,55.56
8xxx,case8387pegase,13,33-48,2,22.22
8xxx,case8387pegase,13,65-80,1,11.11
8xxx,case8387pegase,14,9-16,1,16.67
8xxx,case8387pegase,14,17-32,3,50.00
8xxx,case8387pegase,14,33-48,1,16.67
8xxx,case8387pegase,14,65-80,1,16.67
8xxx,case8387pegase,15,17-32,4,66.67
8xxx,case8387pegase,15,33-48,1,16.67
8xxx,case8387pegase,15,49-64,1,16.67
8xxx,case8387pegase,16,17-32,2,50.00
8xxx,case8387pegase,16,33-48,1,25.00
8xxx,case8387pegase,16,65-80,1,25.00
8xxx,case8387pegase,17,9-16,1,25.00
8xxx,case8387pegase,17,17-32,1,25.00
8xxx,case8387pegase,17,33-48,1,25.00
8xxx,case8387pegase,17,49-64,1,25.00
8xxx,case8387pegase,18,65-80,1,100.00
8xxx,case8387pegase,19,65-80,1,100.00
8xxx,case8387pegase,20,49-64,1,100.00
8xxx,case8387pegase,21,49-64,1,100.00
8xxx,case8387pegase,22,33-48,1,100.00
8xxx,case8387pegase,23,33-48,1,100.00
8xxx,case8387pegase,24,17-32,1,100.00
8xxx,case8387pegase,25,17-32,1,100.00
8xxx,case8387pegase,26,9-16,1,100.00
8xxx,case8387pegase,27,<=8,1,100.00
10K,case_ACTIVSg10k,0,<=8,5022,98.68
10K,case_ACTIVSg10k,0,9-16,67,1.32
10K,case_ACTIVSg10k,1,<=8,1805,94.80
10K,case_ACTIVSg10k,1,9-16,97,5.09
10K,case_ACTIVSg10k,1,17-32,2,0.11
10K,case_ACTIVSg10k,2,<=8,708,78.49
10K,case_ACTIVSg10k,2,9-16,191,21.18
10K,case_ACTIVSg10k,2,17-32,3,0.33
10K,case_ACTIVSg10k,3,<=8,215,45.17
10K,case_ACTIVSg10k,3,9-16,242,50.84
10K,case_ACTIVSg10k,3,17-32,19,3.99
10K,case_ACTIVSg10k,4,<=8,60,20.76
10K,case_ACTIVSg10k,4,9-16,182,62.98
10K,case_ACTIVSg10k,4,17-32,47,16.26
10K,case_ACTIVSg10k,5,<=8,12,7.59
10K,case_ACTIVSg10k,5,9-16,85,53.80
10K,case_ACTIVSg10k,5,17-32,57,36.08
10K,case_ACTIVSg10k,5,33-48,4,2.53
10K,case_ACTIVSg10k,6,<=8,1,1.11
10K,case_ACTIVSg10k,6,9-16,26,28.89
10K,case_ACTIVSg10k,6,17-32,50,55.56
10K,case_ACTIVSg10k,6,33-48,12,13.33
10K,case_ACTIVSg10k,6,49-64,1,1.11
10K,case_ACTIVSg10k,7,9-16,4,8.51
10K,case_ACTIVSg10k,7,17-32,21,44.68
10K,case_ACTIVSg10k,7,33-48,18,38.30
10K,case_ACTIVSg10k,7,49-64,4,8.51
10K,case_ACTIVSg10k,8,17-32,13,39.39
10K,case_ACTIVSg10k,8,33-48,15,45.45
10K,case_ACTIVSg10k,8,49-64,4,12.12
10K,case_ACTIVSg10k,8,65-80,1,3.03
10K,case_ACTIVSg10k,9,9-16,1,4.55
10K,case_ACTIVSg10k,9,17-32,6,27.27
10K,case_ACTIVSg10k,9,33-48,8,36.36
10K,case_ACTIVSg10k,9,49-64,7,31.82
10K,case_ACTIVSg10k,10,17-32,4,22.22
10K,case_ACTIVSg10k,10,33-48,10,55.56
10K,case_ACTIVSg10k,10,49-64,2,11.11
10K,case_ACTIVSg10k,10,65-80,2,11.11
10K,case_ACTIVSg10k,11,17-32,1,10.00
10K,case_ACTIVSg10k,11,33-48,6,60.00
10K,case_ACTIVSg10k,11,49-64,2,20.00
10K,case_ACTIVSg10k,11,65-80,1,10.00
10K,case_ACTIVSg10k,12,17-32,2,25.00
10K,case_ACTIVSg10k,12,33-48,2,25.00
10K,case_ACTIVSg10k,12,49-64,3,37.50
10K,case_ACTIVSg10k,12,65-80,1,12.50
10K,case_ACTIVSg10k,13,33-48,4,66.67
10K,case_ACTIVSg10k,13,49-64,1,16.67
10K,case_ACTIVSg10k,13,65-80,1,16.67
10K,case_ACTIVSg10k,14,17-32,1,16.67
10K,case_ACTIVSg10k,14,33-48,2,33.33
10K,case_ACTIVSg10k,14,49-64,2,33.33
10K,case_ACTIVSg10k,14,65-80,1,16.67
10K,case_ACTIVSg10k,15,33-48,2,40.00
10K,case_ACTIVSg10k,15,49-64,2,40.00
10K,case_ACTIVSg10k,15,65-80,1,20.00
10K,case_ACTIVSg10k,16,17-32,1,20.00
10K,case_ACTIVSg10k,16,33-48,3,60.00
10K,case_ACTIVSg10k,16,49-64,1,20.00
10K,case_ACTIVSg10k,17,33-48,1,50.00
10K,case_ACTIVSg10k,17,49-64,1,50.00
10K,case_ACTIVSg10k,18,33-48,1,50.00
10K,case_ACTIVSg10k,18,65-80,1,50.00
10K,case_ACTIVSg10k,19,33-48,1,50.00
10K,case_ACTIVSg10k,19,49-64,1,50.00
10K,case_ACTIVSg10k,20,33-48,1,100.00
10K,case_ACTIVSg10k,21,33-48,1,100.00
10K,case_ACTIVSg10k,22,33-48,1,100.00
10K,case_ACTIVSg10k,23,17-32,1,100.00
10K,case_ACTIVSg10k,24,9-16,1,100.00
13K,case13659pegase,0,<=8,8274,99.21
13K,case13659pegase,0,9-16,65,0.78
13K,case13659pegase,0,17-32,1,0.01
13K,case13659pegase,1,<=8,1888,92.37
13K,case13659pegase,1,9-16,153,7.49
13K,case13659pegase,1,17-32,3,0.15
13K,case13659pegase,2,<=8,661,74.02
13K,case13659pegase,2,9-16,223,24.97
13K,case13659pegase,2,17-32,8,0.90
13K,case13659pegase,2,33-48,1,0.11
13K,case13659pegase,3,<=8,222,47.54
13K,case13659pegase,3,9-16,210,44.97
13K,case13659pegase,3,17-32,32,6.85
13K,case13659pegase,3,33-48,2,0.43
13K,case13659pegase,3,49-64,1,0.21
13K,case13659pegase,4,<=8,64,25.10
13K,case13659pegase,4,9-16,137,53.73
13K,case13659pegase,4,17-32,48,18.82
13K,case13659pegase,4,33-48,5,1.96
13K,case13659pegase,4,49-64,1,0.39
13K,case13659pegase,5,<=8,10,6.99
13K,case13659pegase,5,9-16,69,48.25
13K,case13659pegase,5,17-32,54,37.76
13K,case13659pegase,5,33-48,8,5.59
13K,case13659pegase,5,49-64,1,0.70
13K,case13659pegase,5,65-80,1,0.70
13K,case13659pegase,6,<=8,3,3.75
13K,case13659pegase,6,9-16,17,21.25
13K,case13659pegase,6,17-32,46,57.50
13K,case13659pegase,6,33-48,12,15.00
13K,case13659pegase,6,49-64,1,1.25
13K,case13659pegase,6,65-80,1,1.25
13K,case13659pegase,7,<=8,1,1.96
13K,case13659pegase,7,9-16,7,13.73
13K,case13659pegase,7,17-32,24,47.06
13K,case13659pegase,7,33-48,15,29.41
13K,case13659pegase,7,49-64,4,7.84
13K,case13659pegase,8,9-16,2,6.06
13K,case13659pegase,8,17-32,20,60.61
13K,case13659pegase,8,33-48,7,21.21
13K,case13659pegase,8,49-64,3,9.09
13K,case13659pegase,8,65-80,1,3.03
13K,case13659pegase,9,<=8,1,4.17
13K,case13659pegase,9,17-32,11,45.83
13K,case13659pegase,9,33-48,10,41.67
13K,case13659pegase,9,49-64,2,8.33
13K,case13659pegase,10,17-32,6,40.00
13K,case13659pegase,10,33-48,4,26.67
13K,case13659pegase,10,49-64,4,26.67
13K,case13659pegase,10,65-80,1,6.67
13K,case13659pegase,11,17-32,3,27.27
13K,case13659pegase,11,33-48,4,36.36
13K,case13659pegase,11,49-64,4,36.36
13K,case13659pegase,12,17-32,3,33.33
13K,case13659pegase,12,33-48,4,44.44
13K,case13659pegase,12,49-64,2,22.22
13K,case13659pegase,13,17-32,3,42.86
13K,case13659pegase,13,33-48,3,42.86
13K,case13659pegase,13,49-64,1,14.29
13K,case13659pegase,14,17-32,1,20.00
13K,case13659pegase,14,33-48,2,40.00
13K,case13659pegase,14,49-64,1,20.00
13K,case13659pegase,14,81-96,1,20.00
13K,case13659pegase,15,9-16,1,33.33
13K,case13659pegase,15,33-48,1,33.33
13K,case13659pegase,15,81-96,1,33.33
13K,case13659pegase,16,33-48,1,50.00
13K,case13659pegase,16,65-80,1,50.00
13K,case13659pegase,17,17-32,1,50.00
13K,case13659pegase,17,65-80,1,50.00
13K,case13659pegase,18,17-32,1,50.00
13K,case13659pegase,18,49-64,1,50.00
13K,case13659pegase,19,33-48,1,100.00
13K,case13659pegase,20,33-48,1,100.00
13K,case13659pegase,21,17-32,1,100.00
13K,case13659pegase,22,17-32,1,100.00
13K,case13659pegase,23,17-32,1,100.00
13K,case13659pegase,24,<=8,1,100.00
25K,case_ACTIVSg25k,0,<=8,12580,98.74
25K,case_ACTIVSg25k,0,9-16,160,1.26
25K,case_ACTIVSg25k,1,<=8,4499,93.92
25K,case_ACTIVSg25k,1,9-16,289,6.03
25K,case_ACTIVSg25k,1,17-32,2,0.04
25K,case_ACTIVSg25k,2,<=8,1778,76.80
25K,case_ACTIVSg25k,2,9-16,528,22.81
25K,case_ACTIVSg25k,2,17-32,9,0.39
25K,case_ACTIVSg25k,3,<=8,593,47.63
25K,case_ACTIVSg25k,3,9-16,591,47.47
25K,case_ACTIVSg25k,3,17-32,60,4.82
25K,case_ACTIVSg25k,3,33-48,1,0.08
25K,case_ACTIVSg25k,4,<=8,145,21.26
25K,case_ACTIVSg25k,4,9-16,416,61.00
25K,case_ACTIVSg25k,4,17-32,118,17.30
25K,case_ACTIVSg25k,4,33-48,3,0.44
25K,case_ACTIVSg25k,5,<=8,30,8.40
25K,case_ACTIVSg25k,5,9-16,174,48.74
25K,case_ACTIVSg25k,5,17-32,142,39.78
25K,case_ACTIVSg25k,5,33-48,10,2.80
25K,case_ACTIVSg25k,5,49-64,1,0.28
25K,case_ACTIVSg25k,6,<=8,2,1.14
25K,case_ACTIVSg25k,6,9-16,35,19.89
25K,case_ACTIVSg25k,6,17-32,98,55.68
25K,case_ACTIVSg25k,6,33-48,36,20.45
25K,case_ACTIVSg25k,6,49-64,5,2.84
25K,case_ACTIVSg25k,7,<=8,1,0.94
25K,case_ACTIVSg25k,7,9-16,6,5.66
25K,case_ACTIVSg25k,7,17-32,48,45.28
25K,case_ACTIVSg25k,7,33-48,36,33.96
25K,case_ACTIVSg25k,7,49-64,12,11.32
25K,case_ACTIVSg25k,7,65-80,3,2.83
25K,case_ACTIVSg25k,8,9-16,1,1.32
25K,case_ACTIVSg25k,8,17-32,18,23.68
25K,case_ACTIVSg25k,8,33-48,36,47.37
25K,case_ACTIVSg25k,8,49-64,16,21.05
25K,case_ACTIVSg25k,8,65-80,5,6.58
25K,case_ACTIVSg25k,9,9-16,1,2.00
25K,case_ACTIVSg25k,9,17-32,8,16.00
25K,case_ACTIVSg25k,9,33-48,20,40.00
25K,case_ACTIVSg25k,9,49-64,17,34.00
25K,case_ACTIVSg25k,9,65-80,2,4.00
25K,case_ACTIVSg25k,9,81-96,2,4.00
25K,case_ACTIVSg25k,10,9-16,1,2.56
25K,case_ACTIVSg25k,10,17-32,3,7.69
25K,case_ACTIVSg25k,10,33-48,14,35.90
25K,case_ACTIVSg25k,10,49-64,13,33.33
25K,case_ACTIVSg25k,10,65-80,5,12.82
25K,case_ACTIVSg25k,10,81-96,3,7.69
25K,case_ACTIVSg25k,11,17-32,3,11.54
25K,case_ACTIVSg25k,11,33-48,5,19.23
25K,case_ACTIVSg25k,11,49-64,8,30.77
25K,case_ACTIVSg25k,11,65-80,5,19.23
25K,case_ACTIVSg25k,11,81-96,5,19.23
25K,case_ACTIVSg25k,12,9-16,2,9.52
25K,case_ACTIVSg25k,12,33-48,4,19.05
25K,case_ACTIVSg25k,12,49-64,8,38.10
25K,case_ACTIVSg25k,12,65-80,5,23.81
25K,case_ACTIVSg25k,12,81-96,1,4.76
25K,case_ACTIVSg25k,12,129-192,1,4.76
25K,case_ACTIVSg25k,13,33-48,4,26.67
25K,case_ACTIVSg25k,13,49-64,2,13.33
25K,case_ACTIVSg25k,13,65-80,5,33.33
25K,case_ACTIVSg25k,13,81-96,3,20.00
25K,case_ACTIVSg25k,13,97-128,1,6.67
25K,case_ACTIVSg25k,14,33-48,2,15.38
25K,case_ACTIVSg25k,14,49-64,3,23.08
25K,case_ACTIVSg25k,14,65-80,3,23.08
25K,case_ACTIVSg25k,14,81-96,3,23.08
25K,case_ACTIVSg25k,14,97-128,2,15.38
25K,case_ACTIVSg25k,15,49-64,1,12.50
25K,case_ACTIVSg25k,15,65-80,3,37.50
25K,case_ACTIVSg25k,15,81-96,4,50.00
25K,case_ACTIVSg25k,16,33-48,1,14.29
25K,case_ACTIVSg25k,16,49-64,1,14.29
25K,case_ACTIVSg25k,16,65-80,3,42.86
25K,case_ACTIVSg25k,16,81-96,1,14.29
25K,case_ACTIVSg25k,16,97-128,1,14.29
25K,case_ACTIVSg25k,17,49-64,1,14.29
25K,case_ACTIVSg25k,17,65-80,1,14.29
25K,case_ACTIVSg25k,17,81-96,3,42.86
25K,case_ACTIVSg25k,17,97-128,2,28.57
25K,case_ACTIVSg25k,18,49-64,1,14.29
25K,case_ACTIVSg25k,18,65-80,2,28.57
25K,case_ACTIVSg25k,18,81-96,3,42.86
25K,case_ACTIVSg25k,18,129-192,1,14.29
25K,case_ACTIVSg25k,19,65-80,2,50.00
25K,case_ACTIVSg25k,19,97-128,2,50.00
25K,case_ACTIVSg25k,20,81-96,2,50.00
25K,case_ACTIVSg25k,20,97-128,2,50.00
25K,case_ACTIVSg25k,21,65-80,1,25.00
25K,case_ACTIVSg25k,21,81-96,2,50.00
25K,case_ACTIVSg25k,21,97-128,1,25.00
25K,case_ACTIVSg25k,22,65-80,1,25.00
25K,case_ACTIVSg25k,22,81-96,1,25.00
25K,case_ACTIVSg25k,22,97-128,2,50.00
25K,case_ACTIVSg25k,23,65-80,1,33.33
25K,case_ACTIVSg25k,23,97-128,2,66.67
25K,case_ACTIVSg25k,24,65-80,1,33.33
25K,case_ACTIVSg25k,24,97-128,2,66.67
25K,case_ACTIVSg25k,25,49-64,1,50.00
25K,case_ACTIVSg25k,25,81-96,1,50.00
25K,case_ACTIVSg25k,26,65-80,1,50.00
25K,case_ACTIVSg25k,26,97-128,1,50.00
25K,case_ACTIVSg25k,27,81-96,2,100.00
25K,case_ACTIVSg25k,28,65-80,2,100.00
25K,case_ACTIVSg25k,29,65-80,1,100.00
25K,case_ACTIVSg25k,30,49-64,1,100.00
25K,case_ACTIVSg25k,31,49-64,1,100.00
25K,case_ACTIVSg25k,32,33-48,1,100.00
25K,case_ACTIVSg25k,33,17-32,1,100.00
25K,case_ACTIVSg25k,34,9-16,1,100.00
25K,case_ACTIVSg25k,35,<=8,1,100.00
70K,case_ACTIVSg70k,0,<=8,35319,99.07
70K,case_ACTIVSg70k,0,9-16,332,0.93
70K,case_ACTIVSg70k,1,<=8,12360,94.98
70K,case_ACTIVSg70k,1,9-16,652,5.01
70K,case_ACTIVSg70k,1,17-32,1,0.01
70K,case_ACTIVSg70k,2,<=8,5227,79.40
70K,case_ACTIVSg70k,2,9-16,1342,20.39
70K,case_ACTIVSg70k,2,17-32,14,0.21
70K,case_ACTIVSg70k,3,<=8,1744,48.32
70K,case_ACTIVSg70k,3,9-16,1764,48.88
70K,case_ACTIVSg70k,3,17-32,101,2.80
70K,case_ACTIVSg70k,4,<=8,437,21.16
70K,case_ACTIVSg70k,4,9-16,1354,65.57
70K,case_ACTIVSg70k,4,17-32,269,13.03
70K,case_ACTIVSg70k,4,33-48,5,0.24
70K,case_ACTIVSg70k,5,<=8,85,7.44
70K,case_ACTIVSg70k,5,9-16,609,53.33
70K,case_ACTIVSg70k,5,17-32,413,36.16
70K,case_ACTIVSg70k,5,33-48,35,3.06
70K,case_ACTIVSg70k,6,<=8,7,1.21
70K,case_ACTIVSg70k,6,9-16,166,28.72
70K,case_ACTIVSg70k,6,17-32,313,54.15
70K,case_ACTIVSg70k,6,33-48,84,14.53
70K,case_ACTIVSg70k,6,49-64,8,1.38
70K,case_ACTIVSg70k,7,<=8,2,0.66
70K,case_ACTIVSg70k,7,9-16,37,12.21
70K,case_ACTIVSg70k,7,17-32,122,40.26
70K,case_ACTIVSg70k,7,33-48,104,34.32
70K,case_ACTIVSg70k,7,49-64,31,10.23
70K,case_ACTIVSg70k,7,65-80,6,1.98
70K,case_ACTIVSg70k,7,81-96,1,0.33
70K,case_ACTIVSg70k,8,9-16,4,2.37
