case_group,case,level,fronts,fsz_min,fsz_p50,fsz_p90,fsz_p99,fsz_max,fsz_avg,nc_max,uc_max,small_cnt,mid_cnt,big_cnt,dominant_bucket,sum_fsz2,sum_trailing_work
6xxx,case6468rte,10,10,18,39,47,49,49,37.30,8,41,2,8,0,33-48,14769,65776
6xxx,case6468rte,11,8,31,40,49,50,50,40.00,8,42,2,6,0,33-48,13132,62522
6xxx,case6468rte,12,5,24,42,53,53,53,40.60,8,45,1,4,0,33-48,8679,44255
6xxx,case6468rte,13,5,33,42,59,59,59,42.80,8,51,0,5,0,33-48,9584,51496
6xxx,case6468rte,14,3,34,44,59,59,59,45.67,8,51,0,3,0,33-48,6573,34776
6xxx,case6468rte,15,2,36,36,59,59,59,47.50,8,51,0,2,0,33-48,4777,26208
6xxx,case6468rte,16,2,51,51,53,53,53,52.00,8,45,0,2,0,49-64,5410,30992
6xxx,case6468rte,17,2,43,43,45,45,45,44.00,8,37,0,2,0,33-48,3874,20752
6xxx,case6468rte,18,1,37,37,37,37,37,37.00,3,34,0,1,0,33-48,1369,3468
6xxx,case6468rte,19,1,35,35,35,35,35,35.00,8,27,0,1,0,33-48,1225,5832
6xxx,case6468rte,20,1,27,27,27,27,27,27.00,8,19,1,0,0,17-32,729,2888
6xxx,case6468rte,21,1,19,19,19,19,19,19.00,8,11,1,0,0,17-32,361,968
6xxx,case6468rte,22,1,11,11,11,11,11,11.00,8,3,1,0,0,9-16,121,72
6xxx,case6468rte,23,1,3,3,3,3,3,3.00,3,0,1,0,0,<=8,9,0
8xxx,case8387pegase,0,4088,2,5,6,8,17,4.88,4,13,4088,0,0,<=8,105937,84964
8xxx,case8387pegase,1,1509,2,6,8,12,18,5.83,8,15,1509,0,0,<=8,56520,54628
8xxx,case8387pegase,2,726,2,6,10,19,33,6.94,8,31,725,1,0,<=8,41168,48816
8xxx,case8387pegase,3,382,3,8,13,21,34,8.35,8,26,381,1,0,<=8,31876,47204
8xxx,case8387pegase,4,252,3,9,17,26,51,10.50,8,43,251,1,0,9-16,34826,67030
8xxx,case8387pegase,5,143,4,11,21,39,73,13.22,8,65,141,2,0,9-16,33840,95748
8xxx,case8387pegase,6,90,4,16,26,39,65,17.03,8,63,87,3,0,17-32,33211,85153
8xxx,case8387pegase,7,58,8,18,32,40,74,20.62,8,66,52,6,0,17-32,31014,115923
8xxx,case8387pegase,8,43,10,20,39,66,66,23.14,8,58,36,7,0,17-32,28147,108946
8xxx,case8387pegase,9,33,7,23,35,60,60,25.18,8,52,28,5,0,17-32,25319,106601
8xxx,case8387pegase,10,22,7,17,43,54,54,22.50,8,46,17,5,0,17-32,15003,61257
8xxx,case8387pegase,11,13,16,24,48,54,54,28.46,8,46,9,4,0,17-32,12162,54687
8xxx,case8387pegase,12,10,14,26,46,52,52,30.30,8,44,7,3,0,17-32,10551,40088
8xxx,case8387pegase,13,9,14,30,44,73,73,31.89,8,65,6,3,0,17-32,11787,62107
8xxx,case8387pegase,14,6,10,29,36,65,65,33.33,8,57,4,2,0,17-32,8270,41520
8xxx,case8387pegase,15,6,20,24,37,57,57,30.83,8,51,4,2,0,17-32,6711,28970
8xxx,case8387pegase,16,4,24,35,67,67,67,38.75,8,59,2,2,0,17-32,7131,38902
8xxx,case8387pegase,17,4,16,37,60,60,60,35.00,6,54,2,2,0,9-16,5954,24091
8xxx,case8387pegase,18,1,74,74,74,74,74,74.00,8,66,0,1,0,65-80,5476,34848
8xxx,case8387pegase,19,1,66,66,66,66,66,66.00,8,58,0,1,0,65-80,4356,26912
8xxx,case8387pegase,20,1,59,59,59,59,59,59.00,8,51,0,1,0,49-64,3481,20808
8xxx,case8387pegase,21,1,51,51,51,51,51,51.00,8,43,0,1,0,49-64,2601,14792
8xxx,case8387pegase,22,1,43,43,43,43,43,43.00,8,35,0,1,0,33-48,1849,9800
8xxx,case8387pegase,23,1,35,35,35,35,35,35.00,8,27,0,1,0,33-48,1225,5832
8xxx,case8387pegase,24,1,27,27,27,27,27,27.00,8,19,1,0,0,17-32,729,2888
8xxx,case8387pegase,25,1,19,19,19,19,19,19.00,8,11,1,0,0,17-32,361,968
8xxx,case8387pegase,26,1,11,11,11,11,11,11.00,8,3,1,0,0,9-16,121,72
8xxx,case8387pegase,27,1,3,3,3,3,3,3.00,3,0,1,0,0,<=8,9,0
10K,case_ACTIVSg10k,0,5089,2,4,6,9,15,4.59,4,13,5089,0,0,<=8,119017,93160
10K,case_ACTIVSg10k,1,1904,3,6,8,12,20,5.95,5,18,1904,0,0,<=8,72948,70291
10K,case_ACTIVSg10k,2,902,3,8,10,14,21,7.62,4,19,902,0,0,<=8,56737,65638
10K,case_ACTIVSg10k,3,476,4,9,14,20,24,9.70,6,22,476,0,0,9-16,49419,67243
10K,case_ACTIVSg10k,4,289,5,12,19,28,32,12.47,12,27,289,0,0,9-16,51259,86439
10K,case_ACTIVSg10k,5,158,6,15,25,35,43,16.26,12,33,154,4,0,9-16,48339,109216
10K,case_ACTIVSg10k,6,90,8,20,35,45,49,22.18,12,37,77,13,0,17-32,50878,187705
10K,case_ACTIVSg10k,7,47,10,31,45,57,57,31.26,12,45,25,22,0,17-32,51949,274047
10K,case_ACTIVSg10k,8,33,19,34,52,67,67,35.61,12,55,13,20,0,33-48,46399,245037
10K,case_ACTIVSg10k,9,22,15,43,55,59,59,40.64,12,52,7,15,0,33-48,39204,218013
10K,case_ACTIVSg10k,10,18,20,41,57,79,79,43.22,12,67,4,14,0,33-48,37502,235021
10K,case_ACTIVSg10k,11,10,30,45,63,67,67,46.80,12,56,1,9,0,33-48,23414,158199
10K,case_ACTIVSg10k,12,8,24,57,62,77,77,48.25,12,65,2,6,0,49-64,21272,151922
10K,case_ACTIVSg10k,13,6,34,45,50,65,65,47.00,12,53,0,6,0,33-48,13796,94704
10K,case_ACTIVSg10k,14,6,22,38,53,69,69,45.00,12,57,1,5,0,49-64,13532,81304
10K,case_ACTIVSg10k,15,5,39,53,66,66,66,52.20,12,54,0,5,0,49-64,14051,102084
10K,case_ACTIVSg10k,16,5,27,41,55,55,55,41.20,12,43,1,4,0,33-48,8904,54160
10K,case_ACTIVSg10k,17,2,43,43,56,56,56,49.50,10,46,0,2,0,49-64,4985,30232
10K,case_ACTIVSg10k,18,2,46,46,67,67,67,56.50,12,55,0,2,0,33-48,6605,50172
10K,case_ACTIVSg10k,19,2,34,34,55,55,55,44.50,12,43,0,2,0,33-48,4181,25071
10K,case_ACTIVSg10k,20,1,43,43,43,43,43,43.00,5,38,0,1,0,33-48,1849,7220
10K,case_ACTIVSg10k,21,1,47,47,47,47,47,47.00,12,35,0,1,0,33-48,2209,14700
10K,case_ACTIVSg10k,22,1,35,35,35,35,35,35.00,12,23,0,1,0,33-48,1225,6348
10K,case_ACTIVSg10k,23,1,23,23,23,23,23,23.00,12,11,1,0,0,17-32,529,1452
10K,case_ACTIVSg10k,24,1,11,11,11,11,11,11.00,11,0,1,0,0,9-16,121,0
13K,case13659pegase,0,8340,2,4,6,8,18,4.31,6,12,8340,0,0,<=8,177089,141132
13K,case13659pegase,1,2044,3,6,8,14,24,6.14,10,22,2044,0,0,<=8,85272,87228
13K,case13659pegase,2,893,3,8,12,16,34,7.85,12,32,892,1,0,<=8,63110,80380
13K,case13659pegase,3,467,4,10,16,28,50,10.26,12,38,464,3,0,<=8,60147,114426
13K,case13659pegase,4,255,4,12,22,38,58,13.55,12,46,249,6,0,9-16,59560,161832
13K,case13659pegase,5,143,6,16,28,54,68,17.90,12,58,133,10,0,9-16,58105,206768
13K,case13659pegase,6,80,8,22,36,50,72,23.75,12,60,66,14,0,17-32,54316,226485
13K,case13659pegase,7,51,8,28,43,62,62,29.33,12,50,32,19,0,17-32,51400,260526
13K,case13659pegase,8,33,12,28,50,74,74,31.36,12,62,22,11,0,17-32,38011,213072
13K,case13659pegase,9,24,8,34,44,62,62,33.33,12,50,12,12,0,17-32,29632,152272
13K,case13659pegase,10,15,20,37,58,74,74,39.60,12,62,6,9,0,17-32,26654,166696
13K,case13659pegase,11,11,24,41,62,62,62,43.00,12,52,3,8,0,33-48,22209,142680
13K,case13659pegase,12,9,22,40,52,54,54,38.89,12,42,3,6,0,33-48,14524,82888
13K,case13659pegase,13,7,20,38,42,50,50,34.71,12,38,3,4,0,33-48,9117,49268
13K,case13659pegase,14,5,24,46,82,82,82,48.60,12,70,1,4,0,33-48,13641,102348
13K,case13659pegase,15,3,12,40,84,84,84,45.33,12,72,1,2,0,33-48,8800,70528
13K,case13659pegase,16,2,42,42,72,72,72,57.00,12,68,0,2,0,33-48,6948,29296
13K,case13659pegase,17,2,30,30,72,72,72,51.00,12,60,1,1,0,17-32,6084,45904
13K,case13659pegase,18,2,32,32,60,60,60,46.00,12,48,1,1,0,17-32,4624,32448
13K,case13659pegase,19,1,48,48,48,48,48,48.00,6,42,0,1,0,33-48,2304,10584
13K,case13659pegase,20,1,43,43,43,43,43,43.00,12,31,0,1,0,33-48,1849,11532
13K,case13659pegase,21,1,31,31,31,31,31,31.00,12,19,1,0,0,17-32,961,4332
13K,case13659pegase,22,1,19,19,19,19,19,19.00,3,16,1,0,0,17-32,361,768
13K,case13659pegase,23,1,20,20,20,20,20,20.00,12,8,1,0,0,17-32,400,768
13K,case13659pegase,24,1,8,8,8,8,8,8.00,8,0,1,0,0,<=8,64,0
25K,case_ACTIVSg25k,0,12740,2,4,6,10,16,4.56,4,14,12740,0,0,<=8,293700,228158
25K,case_ACTIVSg25k,1,4790,2,6,8,12,18,6.00,4,16,4790,0,0,<=8,187436,182929
25K,case_ACTIVSg25k,2,2315,3,8,10,16,20,7.61,6,18,2315,0,0,<=8,147437,173618
25K,case_ACTIVSg25k,3,1245,4,9,14,22,35,9.85,12,24,1244,1,0,<=8,137079,195214
25K,case_ACTIVSg25k,4,682,4,12,20,30,46,13.05,12,34,679,3,0,9-16,136031,250978
25K,case_ACTIVSg25k,5,357,5,16,28,38,50,17.05,12,48,346,11,0,9-16,122516,289000
25K,case_ACTIVSg25k,6,176,6,23,41,54,60,25.20,12,50,135,41,0,17-32,131632,539883
25K,case_ACTIVSg25k,7,106,8,32,53,69,73,34.46,12,61,55,51,0,17-32,142971,793681
25K,case_ACTIVSg25k,8,76,15,42,62,71,72,42.09,12,62,19,57,0,33-48,148845,909536
25K,case_ACTIVSg25k,9,50,13,46,62,84,84,46.12,12,72,9,41,0,33-48,117942,769838
25K,case_ACTIVSg25k,10,39,13,50,73,88,88,50.54,12,76,4,35,0,33-48,111477,769127
25K,case_ACTIVSg25k,11,26,23,56,83,88,88,58.23,12,77,3,23,0,49-64,97586,722836
25K,case_ACTIVSg25k,12,21,11,57,77,135,135,59.14,12,123,2,18,1,49-64,87806,683616
25K,case_ACTIVSg25k,13,15,38,68,95,123,123,69.00,12,111,0,15,0,65-80,79285,638905
25K,case_ACTIVSg25k,14,13,36,68,100,111,111,70.92,12,106,0,13,0,81-96,71112,507302
25K,case_ACTIVSg25k,15,8,50,85,88,93,93,77.62,12,81,0,8,0,81-96,49527,418868
25K,case_ACTIVSg25k,16,7,38,73,81,99,99,69.71,12,87,0,7,0,65-80,36200,264113
25K,case_ACTIVSg25k,17,7,62,92,102,104,104,87.29,12,92,0,7,0,81-96,54883,494724
25K,case_ACTIVSg25k,18,7,50,83,92,129,129,85.57,12,117,0,6,1,81-96,54619,470094
25K,case_ACTIVSg25k,19,4,68,101,117,117,117,91.50,12,105,0,4,0,65-80,34914,311640
25K,case_ACTIVSg25k,20,4,89,105,122,122,122,102.50,12,110,0,4,0,97-128,42666,400824
25K,case_ACTIVSg25k,21,4,77,93,112,112,112,91.00,12,100,0,4,0,81-96,33846,258400
25K,case_ACTIVSg25k,22,4,70,100,125,125,125,96.75,12,113,0,4,0,97-128,38989,351396
25K,case_ACTIVSg25k,23,3,80,114,115,115,115,103.00,12,103,0,3,0,97-128,32621,307644
25K,case_ACTIVSg25k,24,3,68,102,103,103,103,91.00,12,97,0,3,0,97-128,25637,191286
25K,case_ACTIVSg25k,25,2,56,56,90,90,90,73.00,12,78,0,2,0,81-96,11236,96240
25K,case_ACTIVSg25k,26,2,78,78,101,101,101,89.50,12,89,0,2,0,65-80,16285,116956
25K,case_ACTIVSg25k,27,2,86,86,89,89,89,87.50,12,77,0,2,0,81-96,15317,136860
25K,case_ACTIVSg25k,28,2,74,74,77,77,77,75.50,12,65,0,2,0,65-80,11405,96828
25K,case_ACTIVSg25k,29,1,65,65,65,65,65,65.00,8,57,0,1,0,65-80,4225,25992
25K,case_ACTIVSg25k,30,1,62,62,62,62,62,62.00,12,50,0,1,0,49-64,3844,30000
25K,case_ACTIVSg25k,31,1,50,50,50,50,50,50.00,12,38,0,1,0,49-64,2500,17328
25K,case_ACTIVSg25k,32,1,38,38,38,38,38,38.00,12,26,0,1,0,33-48,1444,8112
25K,case_ACTIVSg25k,33,1,26,26,26,26,26,26.00,12,14,1,0,0,17-32,676,2352
25K,case_ACTIVSg25k,34,1,14,14,14,14,14,14.00,12,2,1,0,0,9-16,196,48
25K,case_ACTIVSg25k,35,1,2,2,2,2,2,2.00,2,0,1,0,0,<=8,4,0
70K,case_ACTIVSg70k,0,35651,3,4,6,8,14,4.75,4,12,35651,0,0,<=8,881981,704256
70K,case_ACTIVSg70k,1,13013,2,6,8,12,18,6.32,4,16,13013,0,0,<=8,548779,543620
70K,case_ACTIVSg70k,2,6583,2,8,10,14,20,7.48,6,18,6583,0,0,<=8,401416,462695
70K,case_ACTIVSg70k,3,3609,4,9,14,20,28,9.62,8,26,3609,0,0,9-16,368353,497433
70K,case_ACTIVSg70k,4,2065,5,12,18,28,38,12.36,14,36,2060,5,0,9-16,357809,599928
70K,case_ACTIVSg70k,5,1142,5,15,26,40,47,16.63,14,39,1107,35,0,9-16,368932,875130
70K,case_ACTIVSg70k,6,578,5,21,36,50,64,22.88,20,52,486,92,0,17-32,354435,1285360
70K,case_ACTIVSg70k,7,303,8,31,50,68,86,32.45,20,66,161,142,0,17-32,376271,2172741
70K,case_ACTIVSg70k,8,169,13,42,67,86,89,44.31,20,69,49,120,0,33-48,378756,2895755
70K,case_ACTIVSg70k,9,119,16,58,80,92,96,58.71,20,76,8,111,0,65-80,446728,4130806
70K,case_ACTIVSg70k,10,82,17,60,86,106,111,61.45,20,93,6,76,0,49-64,341229,3145645
70K,case_ACTIVSg70k,11,53,26,74,110,126,127,74.72,20,107,1,52,0,65-80,327772,3575861
70K,case_ACTIVSg70k,12,33,37,76,105,125,125,78.79,20,105,0,33,0,81-96,222602,2504752
70K,case_ACTIVSg70k,13,26,34,78,111,152,152,83.65,20,132,0,24,2,97-128,203961,2362952
70K,case_ACTIVSg70k,14,20,62,106,122,132,132,101.85,20,114,0,19,1,97-128,213875,2739796
70K,case_ACTIVSg70k,15,16,42,108,149,163,163,109.38,20,143,0,10,6,129-192,210184,2737620
70K,case_ACTIVSg70k,16,14,79,127,143,193,193,120.36,20,173,0,9,5,97-128,214185,2862334
70K,case_ACTIVSg70k,17,10,59,132,173,175,175,129.20,20,155,0,4,6,129-192,182654,2602523
70K,case_ACTIVSg70k,18,8,48,153,187,188,188,145.38,20,168,0,1,7,129-192,182601,2344640
70K,case_ACTIVSg70k,19,7,120,167,210,222,222,164.29,20,202,0,1,6,129-192,198486,3105720
70K,case_ACTIVSg70k,20,7,100,148,190,202,202,149.57,20,182,0,2,5,129-192,165017,2144032
70K,case_ACTIVSg70k,21,5,80,130,210,210,210,136.00,20,190,0,2,3,129-192,104400,1564371
70K,case_ACTIVSg70k,22,5,70,150,200,200,200,150.20,20,180,0,1,4,129-192,123381,1592010
70K,case_ACTIVSg70k,23,3,121,180,279,279,279,193.33,20,259,0,1,2,129-192,124882,2051296
70K,case_ACTIVSg70k,24,3,160,166,259,259,259,195.00,20,239,0,0,3,129-192,120237,1960740
70K,case_ACTIVSg70k,25,3,140,148,239,239,239,175.67,20,219,0,0,3,129-192,98625,1574900
70K,case_ACTIVSg70k,26,3,120,195,219,219,219,178.00,20,199,0,1,2,193-256,100386,1604520
70K,case_ACTIVSg70k,27,2,100,100,175,175,175,137.50,20,155,0,1,1,97-128,40625,584044
70K,case_ACTIVSg70k,28,1,155,155,155,155,155,155.00,20,135,0,0,1,129-192,24025,364500
70K,case_ACTIVSg70k,29,1,135,135,135,135,135,135.00,20,115,0,0,1,129-192,18225,264500
70K,case_ACTIVSg70k,30,1,115,115,115,115,115,115.00,8,107,0,1,0,97-128,13225,91592
70K,case_ACTIVSg70k,31,1,201,201,201,201,201,201.00,20,181,0,0,1,193-256,40401,655220
70K,case_ACTIVSg70k,32,1,181,181,181,181,181,181.00,20,161,0,0,1,129-192,32761,518420
70K,case_ACTIVSg70k,33,1,161,161,161,161,161,161.00,20,141,0,0,1,129-192,25921,397620
70K,case_ACTIVSg70k,34,1,141,141,141,141,141,141.00,20,121,0,0,1,129-192,19881,292820
70K,case_ACTIVSg70k,35,1,121,121,121,121,121,121.00,20,101,0,1,0,97-128,14641,204020
70K,case_ACTIVSg70k,36,1,101,101,101,101,101,101.00,20,81,0,1,0,97-128,10201,131220
70K,case_ACTIVSg70k,37,1,81,81,81,81,81,81.00,20,61,0,1,0,81-96,6561,74420
70K,case_ACTIVSg70k,38,1,61,61,61,61,61,61.00,20,41,0,1,0,49-64,3721,33620
70K,case_ACTIVSg70k,39,1,41,41,41,41,41,41.00,20,21,0,1,0,33-48,1681,8820
70K,case_ACTIVSg70k,40,1,21,21,21,21,21,21.00,20,1,1,0,0,17-32,441,20
70K,case_ACTIVSg70k,41,1,1,1,1,1,1,1.00,1,0,1,0,0,<=8,1,0
usa,case_SyntheticUSA,0,41548,2,4,6,9,16,4.73,6,12,41548,0,0,<=8,1023594,818779
usa,case_SyntheticUSA,1,15141,2,6,8,12,18,6.31,6,16,15141,0,0,<=8,640184,636303
usa,case_SyntheticUSA,2,7646,2,8,10,16,23,7.55,4,21,7646,0,0,<=8,478681,559069
usa,case_SyntheticUSA,3,4182,4,9,14,21,31,9.71,8,28,4182,0,0,<=8,439905,605489
usa,case_SyntheticUSA,4,2444,5,12,18,28,40,12.45,14,37,2433,11,0,9-16,435797,743047
usa,case_SyntheticUSA,5,1337,5,15,26,40,65,16.41,20,49,1295,42,0,9-16,429885,1048827
usa,case_SyntheticUSA,6,712,6,21,36,52,79,22.57,20,65,605,107,0,17-32,434496,1642806
usa,case_SyntheticUSA,7,377,6,30,52,68,79,31.76,20,59,220,157,0,17-32,454228,2632610
usa,case_SyntheticUSA,8,224,12,43,70,90,116,44.50,20,96,68,156,0,33-48,520713,4220214
usa,case_SyntheticUSA,9,143,16,54,81,103,107,55.00,20,88,18,125,0,49-64,484845,4328705
usa,case_SyntheticUSA,10,91,29,63,95,119,120,65.90,20,100,3,88,0,49-64,434139,4277576
usa,case_SyntheticUSA,11,63,21,68,100,104,120,70.21,20,100,2,61,0,49-64,341763,3554428
usa,case_SyntheticUSA,12,50,28,76,115,137,137,77.88,20,117,1,45,4,65-80,340410,3832658
usa,case_SyntheticUSA,13,36,30,77,123,160,160,80.17,20,140,1,32,3,49-64,266330,3002275
usa,case_SyntheticUSA,14,27,17,90,134,161,161,89.22,20,141,1,21,5,97-128,251627,2971119
usa,case_SyntheticUSA,15,20,18,105,129,179,179,93.45,20,159,2,15,3,97-128,206845,2756436
usa,case_SyntheticUSA,16,18,35,94,159,161,161,101.72,20,141,0,15,3,81-96,207999,2480291
usa,case_SyntheticUSA,17,14,15,99,169,169,169,99.71,20,149,2,7,5,129-192,171750,2186825
usa,case_SyntheticUSA,18,10,59,132,169,175,175,128.50,20,155,0,4,6,129-192,178787,2316518
usa,case_SyntheticUSA,19,6,39,131,153,229,229,135.50,20,209,0,2,4,129-192,128857,1886720
usa,case_SyntheticUSA,20,6,19,133,211,239,239,145.50,20,219,1,1,4,193-256,156777,2485120
usa,case_SyntheticUSA,21,4,102,191,219,219,219,160.25,20,199,0,1,3,129-192,111487,1652876
usa,case_SyntheticUSA,22,3,109,178,199,199,199,162.00,20,191,0,1,2,193-256,83166,945028
usa,case_SyntheticUSA,23,3,98,158,228,228,228,161.33,20,208,0,1,2,193-256,86552,1367840
usa,case_SyntheticUSA,24,3,78,138,208,208,208,141.33,20,188,0,1,2,193-256,68392,1052640
usa,case_SyntheticUSA,25,2,118,118,188,188,188,153.00,20,168,0,1,1,129-192,49268,628325
usa,case_SyntheticUSA,26,2,168,168,214,214,214,191.00,20,194,0,0,2,129-192,74020,1190800
usa,case_SyntheticUSA,27,2,148,148,194,194,194,171.00,20,174,0,0,2,129-192,59540,744687
usa,case_SyntheticUSA,28,2,147,147,174,174,174,160.50,20,154,0,0,2,129-192,51885,796900
usa,case_SyntheticUSA,29,2,127,127,154,154,154,140.50,20,147,0,1,1,97-128,39845,380243
usa,case_SyntheticUSA,30,1,188,188,188,188,188,188.00,20,168,0,0,1,129-192,35344,564480
