case,metric,target_count,total_writes,min,mean,p50,p90,p95,p99,max,max_over_mean,p95_over_mean
case_ACTIVSg25k,all_writes_to_offdiag_targets,226932,226932,1,1,1,1,1,1,1,1,1
case_ACTIVSg500,all_atomic_writes,6275,12609,1,2.00940239,1,5,6,9,16,7.962566421,2.985962408
case_ACTIVSg500,map_writes_only,6275,6275,1,1,1,1,1,1,1,1,1
case_ACTIVSg500,diag_writes_only,1831,6334,2,3.459311851,3,6,7,10,15,4.336122513,2.02352384
case_ACTIVSg500,all_writes_to_diag_targets,1831,8165,3,4.459311851,4,7,8,11,16,3.587997551,1.793998775
case_ACTIVSg500,all_writes_to_offdiag_targets,4444,4444,1,1,1,1,1,1,1,1,1
case_ACTIVSg70k,all_atomic_writes,900558,1808070,1,2.007721879,1,5,6,7,18,8.96538519,2.98846173
case_ACTIVSg70k,map_writes_only,900558,900558,1,1,1,1,1,1,1,1,1
case_ACTIVSg70k,diag_writes_only,262314,907512,2,3.459639973,3,5,6,7,17,4.913806098,1.734284505
case_ACTIVSg70k,all_writes_to_diag_targets,262314,1169826,3,4.459639973,4,6,7,8,18,4.036200255,1.569633433
case_ACTIVSg70k,all_writes_to_offdiag_targets,638244,638244,1,1,1,1,1,1,1,1,1
