case,metric,row_length,count
Base_Texas_66GW,ybus_active_pvpq_rows,5,998
Base_Texas_66GW,ybus_active_pvpq_rows,6,335
Base_Texas_66GW,ybus_active_pvpq_rows,7,118
Base_Texas_66GW,ybus_active_pvpq_rows,8,43
Base_Texas_66GW,ybus_active_pvpq_rows,9,19
Base_Texas_66GW,ybus_active_pvpq_rows,10,7
Base_Texas_66GW,ybus_active_pvpq_rows,11,2
Base_Texas_66GW,ybus_active_pvpq_rows,12,1
Base_Texas_66GW,jacobian_csr_rows,2,2
Base_Texas_66GW,jacobian_csr_rows,3,30
Base_Texas_66GW,jacobian_csr_rows,4,1735
Base_Texas_66GW,jacobian_csr_rows,5,291
Base_Texas_66GW,jacobian_csr_rows,6,5265
Base_Texas_66GW,jacobian_csr_rows,7,442
Base_Texas_66GW,jacobian_csr_rows,8,3816
Base_Texas_66GW,jacobian_csr_rows,9,321
Base_Texas_66GW,jacobian_csr_rows,10,1555
Base_Texas_66GW,jacobian_csr_rows,11,116
Base_Texas_66GW,jacobian_csr_rows,12,513
Base_Texas_66GW,jacobian_csr_rows,13,42
Base_Texas_66GW,jacobian_csr_rows,14,168
Base_Texas_66GW,jacobian_csr_rows,15,20
Base_Texas_66GW,jacobian_csr_rows,16,60
Base_Texas_66GW,jacobian_csr_rows,17,3
Base_Texas_66GW,jacobian_csr_rows,18,32
Base_Texas_66GW,jacobian_csr_rows,19,6
Base_Texas_66GW,jacobian_csr_rows,20,8
Base_Texas_66GW,jacobian_csr_rows,21,4
Base_Texas_66GW,jacobian_csr_rows,24,2
Base_West_Interconnect_121GW,ybus_all_rows,2,2556
Base_West_Interconnect_121GW,ybus_all_rows,3,7041
Base_West_Interconnect_121GW,ybus_all_rows,4,6375
Base_West_Interconnect_121GW,ybus_all_rows,5,2994
Base_West_Interconnect_121GW,ybus_all_rows,6,1166
Base_West_Interconnect_121GW,ybus_all_rows,7,387
Base_West_Interconnect_121GW,ybus_all_rows,8,140
Base_West_Interconnect_121GW,ybus_all_rows,9,49
Base_West_Interconnect_121GW,ybus_all_rows,10,25
Base_West_Interconnect_121GW,ybus_all_rows,11,12
Base_West_Interconnect_121GW,ybus_all_rows,12,4
Base_West_Interconnect_121GW,ybus_all_rows,13,3
Base_West_Interconnect_121GW,ybus_all_rows,14,1
Base_West_Interconnect_121GW,ybus_all_rows,15,1
Base_West_Interconnect_121GW,ybus_all_rows,16,1
Base_West_Interconnect_121GW,ybus_all_rows,17,1
Base_West_Interconnect_121GW,ybus_all_rows,18,1
Base_West_Interconnect_121GW,ybus_all_rows,30,1
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,2,2556
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,3,7041
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,4,6374
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,5,2994
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,6,1166
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,7,387
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,8,140
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,9,49
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,10,25
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,11,12
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,12,4
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,13,3
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,14,1
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,15,1
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,16,1
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,17,1
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,18,1
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,30,1
Base_West_Interconnect_121GW,jacobian_csr_rows,2,5
Base_West_Interconnect_121GW,jacobian_csr_rows,3,149
Base_West_Interconnect_121GW,jacobian_csr_rows,4,5013
Base_West_Interconnect_121GW,jacobian_csr_rows,5,888
Base_West_Interconnect_121GW,jacobian_csr_rows,6,13139
Base_West_Interconnect_121GW,jacobian_csr_rows,7,1373
Base_West_Interconnect_121GW,jacobian_csr_rows,8,11048
Base_West_Interconnect_121GW,jacobian_csr_rows,9,932
Base_West_Interconnect_121GW,jacobian_csr_rows,10,4788
Base_West_Interconnect_121GW,jacobian_csr_rows,11,373
Base_West_Interconnect_121GW,jacobian_csr_rows,12,1856
Base_West_Interconnect_121GW,jacobian_csr_rows,13,92
Base_West_Interconnect_121GW,jacobian_csr_rows,14,645
Base_West_Interconnect_121GW,jacobian_csr_rows,15,49
Base_West_Interconnect_121GW,jacobian_csr_rows,16,212
Base_West_Interconnect_121GW,jacobian_csr_rows,17,25
Base_West_Interconnect_121GW,jacobian_csr_rows,18,72
Base_West_Interconnect_121GW,jacobian_csr_rows,19,11
Base_West_Interconnect_121GW,jacobian_csr_rows,20,32
Base_West_Interconnect_121GW,jacobian_csr_rows,22,24
Base_West_Interconnect_121GW,jacobian_csr_rows,23,3
Base_West_Interconnect_121GW,jacobian_csr_rows,24,4
Base_West_Interconnect_121GW,jacobian_csr_rows,25,1
Base_West_Interconnect_121GW,jacobian_csr_rows,26,4
Base_West_Interconnect_121GW,jacobian_csr_rows,28,2
Base_West_Interconnect_121GW,jacobian_csr_rows,29,5
Base_West_Interconnect_121GW,jacobian_csr_rows,30,2
Base_West_Interconnect_121GW,jacobian_csr_rows,59,1
MemphisCase2026_Mar7,ybus_all_rows,2,197
MemphisCase2026_Mar7,ybus_all_rows,3,374
MemphisCase2026_Mar7,ybus_all_rows,4,198
MemphisCase2026_Mar7,ybus_all_rows,5,134
MemphisCase2026_Mar7,ybus_all_rows,6,38
MemphisCase2026_Mar7,ybus_all_rows,7,24
MemphisCase2026_Mar7,ybus_all_rows,8,9
MemphisCase2026_Mar7,ybus_all_rows,9,8
MemphisCase2026_Mar7,ybus_all_rows,10,4
MemphisCase2026_Mar7,ybus_all_rows,11,2
MemphisCase2026_Mar7,ybus_all_rows,12,1
MemphisCase2026_Mar7,ybus_all_rows,13,1
MemphisCase2026_Mar7,ybus_all_rows,15,1
MemphisCase2026_Mar7,ybus_all_rows,21,1
MemphisCase2026_Mar7,ybus_all_rows,28,1
MemphisCase2026_Mar7,ybus_active_pvpq_rows,2,196
MemphisCase2026_Mar7,ybus_active_pvpq_rows,3,374
MemphisCase2026_Mar7,ybus_active_pvpq_rows,4,198
MemphisCase2026_Mar7,ybus_active_pvpq_rows,5,134
MemphisCase2026_Mar7,ybus_active_pvpq_rows,6,38
MemphisCase2026_Mar7,ybus_active_pvpq_rows,7,24
MemphisCase2026_Mar7,ybus_active_pvpq_rows,8,9
MemphisCase2026_Mar7,ybus_active_pvpq_rows,9,8
MemphisCase2026_Mar7,ybus_active_pvpq_rows,10,4
MemphisCase2026_Mar7,ybus_active_pvpq_rows,11,2
MemphisCase2026_Mar7,ybus_active_pvpq_rows,12,1
MemphisCase2026_Mar7,ybus_active_pvpq_rows,13,1
MemphisCase2026_Mar7,ybus_active_pvpq_rows,15,1
MemphisCase2026_Mar7,ybus_active_pvpq_rows,21,1
MemphisCase2026_Mar7,ybus_active_pvpq_rows,28,1
MemphisCase2026_Mar7,jacobian_csr_rows,3,187
MemphisCase2026_Mar7,jacobian_csr_rows,4,18
MemphisCase2026_Mar7,jacobian_csr_rows,6,750
MemphisCase2026_Mar7,jacobian_csr_rows,7,20
MemphisCase2026_Mar7,jacobian_csr_rows,8,380
MemphisCase2026_Mar7,jacobian_csr_rows,9,22
MemphisCase2026_Mar7,jacobian_csr_rows,10,246
MemphisCase2026_Mar7,jacobian_csr_rows,11,18
MemphisCase2026_Mar7,jacobian_csr_rows,12,76
MemphisCase2026_Mar7,jacobian_csr_rows,13,10
MemphisCase2026_Mar7,jacobian_csr_rows,14,32
MemphisCase2026_Mar7,jacobian_csr_rows,15,4
MemphisCase2026_Mar7,jacobian_csr_rows,16,18
MemphisCase2026_Mar7,jacobian_csr_rows,18,6
MemphisCase2026_Mar7,jacobian_csr_rows,19,2
MemphisCase2026_Mar7,jacobian_csr_rows,20,2
MemphisCase2026_Mar7,jacobian_csr_rows,21,2
MemphisCase2026_Mar7,jacobian_csr_rows,27,2
MemphisCase2026_Mar7,jacobian_csr_rows,33,2
Texas7k_20220923,ybus_all_rows,2,1004
Texas7k_20220923,ybus_all_rows,3,2711
Texas7k_20220923,ybus_all_rows,4,1949
Texas7k_20220923,ybus_all_rows,5,631
Texas7k_20220923,ybus_all_rows,6,245
Texas7k_20220923,ybus_all_rows,7,89
Texas7k_20220923,ybus_all_rows,8,33
Texas7k_20220923,ybus_all_rows,9,27
Texas7k_20220923,ybus_all_rows,10,13
Texas7k_20220923,ybus_all_rows,11,8
Texas7k_20220923,ybus_all_rows,12,4
Texas7k_20220923,ybus_all_rows,15,2
Texas7k_20220923,ybus_all_rows,21,1
Texas7k_20220923,ybus_active_pvpq_rows,2,1003
Texas7k_20220923,ybus_active_pvpq_rows,3,2711
Texas7k_20220923,ybus_active_pvpq_rows,4,1949
Texas7k_20220923,ybus_active_pvpq_rows,5,631
Texas7k_20220923,ybus_active_pvpq_rows,6,245
Texas7k_20220923,ybus_active_pvpq_rows,7,89
Texas7k_20220923,ybus_active_pvpq_rows,8,33
Texas7k_20220923,ybus_active_pvpq_rows,9,27
Texas7k_20220923,ybus_active_pvpq_rows,10,13
Texas7k_20220923,ybus_active_pvpq_rows,11,8
Texas7k_20220923,ybus_active_pvpq_rows,12,4
Texas7k_20220923,ybus_active_pvpq_rows,15,2
Texas7k_20220923,ybus_active_pvpq_rows,21,1
Texas7k_20220923,jacobian_csr_rows,3,589
Texas7k_20220923,jacobian_csr_rows,4,828
Texas7k_20220923,jacobian_csr_rows,5,6
Texas7k_20220923,jacobian_csr_rows,6,5428
Texas7k_20220923,jacobian_csr_rows,7,114
Texas7k_20220923,jacobian_csr_rows,8,3792
Texas7k_20220923,jacobian_csr_rows,9,154
Texas7k_20220923,jacobian_csr_rows,10,1136
Texas7k_20220923,jacobian_csr_rows,11,100
Texas7k_20220923,jacobian_csr_rows,12,402
Texas7k_20220923,jacobian_csr_rows,13,48
Texas7k_20220923,jacobian_csr_rows,14,138
Texas7k_20220923,jacobian_csr_rows,15,14
Texas7k_20220923,jacobian_csr_rows,16,42
Texas7k_20220923,jacobian_csr_rows,17,12
Texas7k_20220923,jacobian_csr_rows,18,26
Texas7k_20220923,jacobian_csr_rows,19,2
Texas7k_20220923,jacobian_csr_rows,20,4
Texas7k_20220923,jacobian_csr_rows,22,2
Texas7k_20220923,jacobian_csr_rows,24,4
Texas7k_20220923,jacobian_csr_rows,26,2
case_ACTIVSg200,ybus_all_rows,2,72
case_ACTIVSg200,ybus_all_rows,3,55
case_ACTIVSg200,ybus_all_rows,4,31
case_ACTIVSg200,ybus_all_rows,5,20
case_ACTIVSg200,ybus_all_rows,6,11
case_ACTIVSg200,ybus_all_rows,7,5
case_ACTIVSg200,ybus_all_rows,8,3
case_ACTIVSg200,ybus_all_rows,9,1
case_ACTIVSg200,ybus_all_rows,11,1
case_ACTIVSg200,ybus_all_rows,12,1
case_ACTIVSg200,ybus_active_pvpq_rows,2,71
case_ACTIVSg200,ybus_active_pvpq_rows,3,55
case_ACTIVSg200,ybus_active_pvpq_rows,4,31
case_ACTIVSg200,ybus_active_pvpq_rows,5,20
case_ACTIVSg200,ybus_active_pvpq_rows,6,11
case_ACTIVSg200,ybus_active_pvpq_rows,7,5
case_ACTIVSg200,ybus_active_pvpq_rows,8,3
case_ACTIVSg200,ybus_active_pvpq_rows,9,1
case_ACTIVSg200,ybus_active_pvpq_rows,11,1
case_ACTIVSg200,ybus_active_pvpq_rows,12,1
case_ACTIVSg200,jacobian_csr_rows,3,37
case_ACTIVSg200,jacobian_csr_rows,4,68
case_ACTIVSg200,jacobian_csr_rows,6,110
case_ACTIVSg200,jacobian_csr_rows,7,4
case_ACTIVSg200,jacobian_csr_rows,8,60
case_ACTIVSg200,jacobian_csr_rows,9,2
case_ACTIVSg200,jacobian_csr_rows,10,42
case_ACTIVSg200,jacobian_csr_rows,11,2
case_ACTIVSg200,jacobian_csr_rows,12,20
case_ACTIVSg200,jacobian_csr_rows,13,4
case_ACTIVSg200,jacobian_csr_rows,14,8
case_ACTIVSg200,jacobian_csr_rows,17,2
case_ACTIVSg200,jacobian_csr_rows,20,2
case_ACTIVSg2000,ybus_all_rows,2,456
case_ACTIVSg2000,ybus_all_rows,3,604
case_ACTIVSg2000,ybus_all_rows,4,532
case_ACTIVSg2000,ybus_all_rows,5,241
case_ACTIVSg2000,ybus_all_rows,6,86
case_ACTIVSg2000,ybus_all_rows,7,23
case_ACTIVSg2000,ybus_all_rows,8,14
case_ACTIVSg2000,ybus_all_rows,9,11
case_ACTIVSg2000,ybus_all_rows,10,8
case_ACTIVSg2000,ybus_all_rows,11,11
case_ACTIVSg2000,ybus_all_rows,12,4
case_ACTIVSg2000,ybus_all_rows,13,4
case_ACTIVSg2000,ybus_all_rows,14,4
case_ACTIVSg2000,ybus_all_rows,15,1
case_ACTIVSg2000,ybus_all_rows,17,1
case_ACTIVSg2000,ybus_active_pvpq_rows,2,455
case_ACTIVSg2000,ybus_active_pvpq_rows,3,604
case_ACTIVSg2000,ybus_active_pvpq_rows,4,532
case_ACTIVSg2000,ybus_active_pvpq_rows,5,241
case_ACTIVSg2000,ybus_active_pvpq_rows,6,86
case_ACTIVSg2000,ybus_active_pvpq_rows,7,23
case_ACTIVSg2000,ybus_active_pvpq_rows,8,14
case_ACTIVSg2000,ybus_active_pvpq_rows,9,11
case_ACTIVSg2000,ybus_active_pvpq_rows,10,8
case_ACTIVSg2000,ybus_active_pvpq_rows,11,11
case_ACTIVSg2000,ybus_active_pvpq_rows,12,4
case_ACTIVSg2000,ybus_active_pvpq_rows,13,4
case_ACTIVSg2000,ybus_active_pvpq_rows,14,4
case_ACTIVSg2000,ybus_active_pvpq_rows,15,1
case_ACTIVSg2000,ybus_active_pvpq_rows,17,1
case_ACTIVSg2000,jacobian_csr_rows,3,361
case_ACTIVSg2000,jacobian_csr_rows,4,190
case_ACTIVSg2000,jacobian_csr_rows,5,20
case_ACTIVSg2000,jacobian_csr_rows,6,1189
case_ACTIVSg2000,jacobian_csr_rows,7,83
case_ACTIVSg2000,jacobian_csr_rows,8,982
case_ACTIVSg2000,jacobian_csr_rows,9,70
case_ACTIVSg2000,jacobian_csr_rows,10,413
case_ACTIVSg2000,jacobian_csr_rows,11,49
case_ACTIVSg2000,jacobian_csr_rows,12,104
case_ACTIVSg2000,jacobian_csr_rows,13,22
case_ACTIVSg2000,jacobian_csr_rows,14,46
case_ACTIVSg2000,jacobian_csr_rows,15,16
case_ACTIVSg2000,jacobian_csr_rows,16,14
case_ACTIVSg2000,jacobian_csr_rows,17,14
case_ACTIVSg2000,jacobian_csr_rows,18,12
case_ACTIVSg2000,jacobian_csr_rows,19,10
case_ACTIVSg2000,jacobian_csr_rows,20,6
case_ACTIVSg2000,jacobian_csr_rows,21,6
case_ACTIVSg25k,ybus_all_rows,2,9190
case_ACTIVSg25k,ybus_all_rows,3,4160
case_ACTIVSg25k,ybus_all_rows,4,6852
case_ACTIVSg25k,ybus_all_rows,5,3048
case_ACTIVSg25k,ybus_all_rows,6,1085
case_ACTIVSg25k,ybus_all_rows,7,382
case_ACTIVSg25k,ybus_all_rows,8,157
case_ACTIVSg25k,ybus_all_rows,9,67
case_ACTIVSg25k,ybus_all_rows,10,27
case_ACTIVSg25k,ybus_all_rows,11,13
case_ACTIVSg25k,ybus_all_rows,12,7
case_ACTIVSg25k,ybus_all_rows,13,5
case_ACTIVSg25k,ybus_all_rows,14,2
case_ACTIVSg25k,ybus_all_rows,15,3
case_ACTIVSg25k,ybus_all_rows,16,1
case_ACTIVSg25k,ybus_all_rows,18,1
case_ACTIVSg25k,ybus_active_pvpq_rows,2,9190
case_ACTIVSg25k,ybus_active_pvpq_rows,3,4159
case_ACTIVSg25k,ybus_active_pvpq_rows,4,6852
case_ACTIVSg25k,ybus_active_pvpq_rows,5,3048
case_ACTIVSg25k,ybus_active_pvpq_rows,6,1085
case_ACTIVSg25k,ybus_active_pvpq_rows,7,382
case_ACTIVSg25k,ybus_active_pvpq_rows,8,157
case_ACTIVSg25k,ybus_active_pvpq_rows,9,67
case_ACTIVSg25k,ybus_active_pvpq_rows,10,27
case_ACTIVSg25k,ybus_active_pvpq_rows,11,13
case_ACTIVSg25k,ybus_active_pvpq_rows,12,7
case_ACTIVSg25k,ybus_active_pvpq_rows,13,5
case_ACTIVSg25k,ybus_active_pvpq_rows,14,2
case_ACTIVSg25k,ybus_active_pvpq_rows,15,3
case_ACTIVSg25k,ybus_active_pvpq_rows,16,1
case_ACTIVSg25k,ybus_active_pvpq_rows,18,1
case_ACTIVSg25k,jacobian_csr_rows,2,4
case_ACTIVSg25k,jacobian_csr_rows,3,2554
case_ACTIVSg25k,jacobian_csr_rows,4,13516
case_ACTIVSg25k,jacobian_csr_rows,5,736
case_ACTIVSg25k,jacobian_csr_rows,6,7738
case_ACTIVSg25k,jacobian_csr_rows,7,1409
case_ACTIVSg25k,jacobian_csr_rows,8,11982
case_ACTIVSg25k,jacobian_csr_rows,9,826
case_ACTIVSg25k,jacobian_csr_rows,10,5305
case_ACTIVSg25k,jacobian_csr_rows,11,376
case_ACTIVSg25k,jacobian_csr_rows,12,1744
case_ACTIVSg25k,jacobian_csr_rows,13,183
case_ACTIVSg25k,jacobian_csr_rows,14,511
case_ACTIVSg25k,jacobian_csr_rows,15,68
case_ACTIVSg25k,jacobian_csr_rows,16,170
case_ACTIVSg25k,jacobian_csr_rows,17,30
case_ACTIVSg25k,jacobian_csr_rows,18,60
case_ACTIVSg25k,jacobian_csr_rows,19,10
