case,metric,fan_in,count
Base_West_Interconnect_121GW,all_writes_to_diag_targets,12,48
Base_West_Interconnect_121GW,all_writes_to_diag_targets,13,13
Base_West_Interconnect_121GW,all_writes_to_diag_targets,14,9
Base_West_Interconnect_121GW,all_writes_to_diag_targets,15,4
Base_West_Interconnect_121GW,all_writes_to_diag_targets,16,4
Base_West_Interconnect_121GW,all_writes_to_diag_targets,17,1
Base_West_Interconnect_121GW,all_writes_to_diag_targets,18,4
Base_West_Interconnect_121GW,all_writes_to_diag_targets,19,4
Base_West_Interconnect_121GW,all_writes_to_diag_targets,31,1
Base_West_Interconnect_121GW,all_writes_to_offdiag_targets,1,221756
MemphisCase2026_Mar7,all_atomic_writes,1,9948
MemphisCase2026_Mar7,all_atomic_writes,3,223
MemphisCase2026_Mar7,all_atomic_writes,4,1496
MemphisCase2026_Mar7,all_atomic_writes,5,792
MemphisCase2026_Mar7,all_atomic_writes,6,536
MemphisCase2026_Mar7,all_atomic_writes,7,152
MemphisCase2026_Mar7,all_atomic_writes,8,96
MemphisCase2026_Mar7,all_atomic_writes,9,36
MemphisCase2026_Mar7,all_atomic_writes,10,32
MemphisCase2026_Mar7,all_atomic_writes,11,16
MemphisCase2026_Mar7,all_atomic_writes,12,8
MemphisCase2026_Mar7,all_atomic_writes,13,4
MemphisCase2026_Mar7,all_atomic_writes,14,4
MemphisCase2026_Mar7,all_atomic_writes,16,4
MemphisCase2026_Mar7,all_atomic_writes,22,4
MemphisCase2026_Mar7,all_atomic_writes,29,4
MemphisCase2026_Mar7,map_writes_only,1,13355
MemphisCase2026_Mar7,diag_writes_only,2,223
MemphisCase2026_Mar7,diag_writes_only,3,1496
MemphisCase2026_Mar7,diag_writes_only,4,792
MemphisCase2026_Mar7,diag_writes_only,5,536
MemphisCase2026_Mar7,diag_writes_only,6,152
MemphisCase2026_Mar7,diag_writes_only,7,96
MemphisCase2026_Mar7,diag_writes_only,8,36
MemphisCase2026_Mar7,diag_writes_only,9,32
MemphisCase2026_Mar7,diag_writes_only,10,16
MemphisCase2026_Mar7,diag_writes_only,11,8
MemphisCase2026_Mar7,diag_writes_only,12,4
MemphisCase2026_Mar7,diag_writes_only,13,4
MemphisCase2026_Mar7,diag_writes_only,15,4
MemphisCase2026_Mar7,diag_writes_only,21,4
MemphisCase2026_Mar7,diag_writes_only,28,4
MemphisCase2026_Mar7,all_writes_to_diag_targets,3,223
MemphisCase2026_Mar7,all_writes_to_diag_targets,4,1496
MemphisCase2026_Mar7,all_writes_to_diag_targets,5,792
MemphisCase2026_Mar7,all_writes_to_diag_targets,6,536
MemphisCase2026_Mar7,all_writes_to_diag_targets,7,152
MemphisCase2026_Mar7,all_writes_to_diag_targets,8,96
MemphisCase2026_Mar7,all_writes_to_diag_targets,9,36
MemphisCase2026_Mar7,all_writes_to_diag_targets,10,32
MemphisCase2026_Mar7,all_writes_to_diag_targets,11,16
MemphisCase2026_Mar7,all_writes_to_diag_targets,12,8
MemphisCase2026_Mar7,all_writes_to_diag_targets,13,4
MemphisCase2026_Mar7,all_writes_to_diag_targets,14,4
MemphisCase2026_Mar7,all_writes_to_diag_targets,16,4
MemphisCase2026_Mar7,all_writes_to_diag_targets,22,4
MemphisCase2026_Mar7,all_writes_to_diag_targets,29,4
MemphisCase2026_Mar7,all_writes_to_offdiag_targets,1,9948
Texas7k_20220923,all_atomic_writes,1,66804
Texas7k_20220923,all_atomic_writes,3,2245
Texas7k_20220923,all_atomic_writes,4,10844
Texas7k_20220923,all_atomic_writes,5,7796
Texas7k_20220923,all_atomic_writes,6,2524
Texas7k_20220923,all_atomic_writes,7,980
Texas7k_20220923,all_atomic_writes,8,356
Texas7k_20220923,all_atomic_writes,9,132
Texas7k_20220923,all_atomic_writes,10,108
Texas7k_20220923,all_atomic_writes,11,52
Texas7k_20220923,all_atomic_writes,12,32
Texas7k_20220923,all_atomic_writes,13,16
Texas7k_20220923,all_atomic_writes,16,8
Texas7k_20220923,all_atomic_writes,22,4
Texas7k_20220923,map_writes_only,1,91901
Texas7k_20220923,diag_writes_only,2,2245
Texas7k_20220923,diag_writes_only,3,10844
Texas7k_20220923,diag_writes_only,4,7796
Texas7k_20220923,diag_writes_only,5,2524
Texas7k_20220923,diag_writes_only,6,980
Texas7k_20220923,diag_writes_only,7,356
Texas7k_20220923,diag_writes_only,8,132
Texas7k_20220923,diag_writes_only,9,108
Texas7k_20220923,diag_writes_only,10,52
Texas7k_20220923,diag_writes_only,11,32
Texas7k_20220923,diag_writes_only,12,16
Texas7k_20220923,diag_writes_only,15,8
Texas7k_20220923,diag_writes_only,21,4
Texas7k_20220923,all_writes_to_diag_targets,3,2245
Texas7k_20220923,all_writes_to_diag_targets,4,10844
Texas7k_20220923,all_writes_to_diag_targets,5,7796
Texas7k_20220923,all_writes_to_diag_targets,6,2524
Texas7k_20220923,all_writes_to_diag_targets,7,980
Texas7k_20220923,all_writes_to_diag_targets,8,356
Texas7k_20220923,all_writes_to_diag_targets,9,132
Texas7k_20220923,all_writes_to_diag_targets,10,108
Texas7k_20220923,all_writes_to_diag_targets,11,52
Texas7k_20220923,all_writes_to_diag_targets,12,32
Texas7k_20220923,all_writes_to_diag_targets,13,16
Texas7k_20220923,all_writes_to_diag_targets,16,8
Texas7k_20220923,all_writes_to_diag_targets,22,4
Texas7k_20220923,all_writes_to_offdiag_targets,1,66804
case_ACTIVSg200,all_atomic_writes,1,1804
case_ACTIVSg200,all_atomic_writes,3,173
case_ACTIVSg200,all_atomic_writes,4,220
case_ACTIVSg200,all_atomic_writes,5,124
case_ACTIVSg200,all_atomic_writes,6,80
case_ACTIVSg200,all_atomic_writes,7,44
case_ACTIVSg200,all_atomic_writes,8,20
case_ACTIVSg200,all_atomic_writes,9,12
case_ACTIVSg200,all_atomic_writes,10,4
case_ACTIVSg200,all_atomic_writes,12,4
case_ACTIVSg200,all_atomic_writes,13,4
case_ACTIVSg200,map_writes_only,1,2489
case_ACTIVSg200,diag_writes_only,2,173
case_ACTIVSg200,diag_writes_only,3,220
case_ACTIVSg200,diag_writes_only,4,124
case_ACTIVSg200,diag_writes_only,5,80
case_ACTIVSg200,diag_writes_only,6,44
case_ACTIVSg200,diag_writes_only,7,20
case_ACTIVSg200,diag_writes_only,8,12
case_ACTIVSg200,diag_writes_only,9,4
case_ACTIVSg200,diag_writes_only,11,4
case_ACTIVSg200,diag_writes_only,12,4
case_ACTIVSg200,all_writes_to_diag_targets,3,173
case_ACTIVSg200,all_writes_to_diag_targets,4,220
case_ACTIVSg200,all_writes_to_diag_targets,5,124
case_ACTIVSg200,all_writes_to_diag_targets,6,80
case_ACTIVSg200,all_writes_to_diag_targets,7,44
case_ACTIVSg200,all_writes_to_diag_targets,8,20
case_ACTIVSg200,all_writes_to_diag_targets,9,12
case_ACTIVSg200,all_writes_to_diag_targets,10,4
case_ACTIVSg200,all_writes_to_diag_targets,12,4
case_ACTIVSg200,all_writes_to_diag_targets,13,4
case_ACTIVSg200,all_writes_to_offdiag_targets,1,1804
case_ACTIVSg2000,all_atomic_writes,1,19522
case_ACTIVSg2000,all_atomic_writes,3,737
case_ACTIVSg2000,all_atomic_writes,4,2392
case_ACTIVSg2000,all_atomic_writes,5,2086
case_ACTIVSg2000,all_atomic_writes,6,946
case_ACTIVSg2000,all_atomic_writes,7,338
case_ACTIVSg2000,all_atomic_writes,8,92
case_ACTIVSg2000,all_atomic_writes,9,56
case_ACTIVSg2000,all_atomic_writes,10,44
case_ACTIVSg2000,all_atomic_writes,11,32
case_ACTIVSg2000,all_atomic_writes,12,44
case_ACTIVSg2000,all_atomic_writes,13,16
case_ACTIVSg2000,all_atomic_writes,14,16
case_ACTIVSg2000,all_atomic_writes,15,16
case_ACTIVSg2000,all_atomic_writes,16,4
case_ACTIVSg2000,all_atomic_writes,18,4
case_ACTIVSg2000,map_writes_only,1,26345
case_ACTIVSg2000,diag_writes_only,2,737
case_ACTIVSg2000,diag_writes_only,3,2392
case_ACTIVSg2000,diag_writes_only,4,2086
case_ACTIVSg2000,diag_writes_only,5,946
case_ACTIVSg2000,diag_writes_only,6,338
case_ACTIVSg2000,diag_writes_only,7,92
case_ACTIVSg2000,diag_writes_only,8,56
case_ACTIVSg2000,diag_writes_only,9,44
case_ACTIVSg2000,diag_writes_only,10,32
case_ACTIVSg2000,diag_writes_only,11,44
case_ACTIVSg2000,diag_writes_only,12,16
case_ACTIVSg2000,diag_writes_only,13,16
case_ACTIVSg2000,diag_writes_only,14,16
case_ACTIVSg2000,diag_writes_only,15,4
case_ACTIVSg2000,diag_writes_only,17,4
case_ACTIVSg2000,all_writes_to_diag_targets,3,737
case_ACTIVSg2000,all_writes_to_diag_targets,4,2392
case_ACTIVSg2000,all_writes_to_diag_targets,5,2086
case_ACTIVSg2000,all_writes_to_diag_targets,6,946
case_ACTIVSg2000,all_writes_to_diag_targets,7,338
case_ACTIVSg2000,all_writes_to_diag_targets,8,92
case_ACTIVSg2000,all_writes_to_diag_targets,9,56
case_ACTIVSg2000,all_writes_to_diag_targets,10,44
case_ACTIVSg2000,all_writes_to_diag_targets,11,32
case_ACTIVSg2000,all_writes_to_diag_targets,12,44
case_ACTIVSg2000,all_writes_to_diag_targets,13,16
case_ACTIVSg2000,all_writes_to_diag_targets,14,16
case_ACTIVSg2000,all_writes_to_diag_targets,15,16
case_ACTIVSg2000,all_writes_to_diag_targets,16,4
case_ACTIVSg2000,all_writes_to_diag_targets,18,4
case_ACTIVSg2000,all_writes_to_offdiag_targets,1,19522
case_ACTIVSg25k,all_atomic_writes,1,226932
case_ACTIVSg25k,all_atomic_writes,3,29746
case_ACTIVSg25k,all_atomic_writes,4,16030
case_ACTIVSg25k,all_atomic_writes,5,27021
case_ACTIVSg25k,all_atomic_writes,6,12024
case_ACTIVSg25k,all_atomic_writes,7,4289
case_ACTIVSg25k,all_atomic_writes,8,1513
case_ACTIVSg25k,all_atomic_writes,9,619
case_ACTIVSg25k,all_atomic_writes,10,262
case_ACTIVSg25k,all_atomic_writes,11,108
case_ACTIVSg25k,all_atomic_writes,12,52
case_ACTIVSg25k,all_atomic_writes,13,28
case_ACTIVSg25k,all_atomic_writes,14,20
case_ACTIVSg25k,all_atomic_writes,15,8
case_ACTIVSg25k,all_atomic_writes,16,12
case_ACTIVSg25k,all_atomic_writes,17,4
case_ACTIVSg25k,all_atomic_writes,19,4
case_ACTIVSg25k,map_writes_only,1,318672
case_ACTIVSg25k,diag_writes_only,2,29746
case_ACTIVSg25k,diag_writes_only,3,16030
case_ACTIVSg25k,diag_writes_only,4,27021
case_ACTIVSg25k,diag_writes_only,5,12024
case_ACTIVSg25k,diag_writes_only,6,4289
case_ACTIVSg25k,diag_writes_only,7,1513
case_ACTIVSg25k,diag_writes_only,8,619
case_ACTIVSg25k,diag_writes_only,9,262
case_ACTIVSg25k,diag_writes_only,10,108
case_ACTIVSg25k,diag_writes_only,11,52
case_ACTIVSg25k,diag_writes_only,12,28
case_ACTIVSg25k,diag_writes_only,13,20
case_ACTIVSg25k,diag_writes_only,14,8
case_ACTIVSg25k,diag_writes_only,15,12
case_ACTIVSg25k,diag_writes_only,16,4
case_ACTIVSg25k,diag_writes_only,18,4
case_ACTIVSg25k,all_writes_to_diag_targets,3,29746
case_ACTIVSg25k,all_writes_to_diag_targets,4,16030
case_ACTIVSg25k,all_writes_to_diag_targets,5,27021
case_ACTIVSg25k,all_writes_to_diag_targets,6,12024
case_ACTIVSg25k,all_writes_to_diag_targets,7,4289
case_ACTIVSg25k,all_writes_to_diag_targets,8,1513
case_ACTIVSg25k,all_writes_to_diag_targets,9,619
case_ACTIVSg25k,all_writes_to_diag_targets,10,262
case_ACTIVSg25k,all_writes_to_diag_targets,11,108
case_ACTIVSg25k,all_writes_to_diag_targets,12,52
case_ACTIVSg25k,all_writes_to_diag_targets,13,28
case_ACTIVSg25k,all_writes_to_diag_targets,14,20
case_ACTIVSg25k,all_writes_to_diag_targets,15,8
case_ACTIVSg25k,all_writes_to_diag_targets,16,12
case_ACTIVSg25k,all_writes_to_diag_targets,17,4
case_ACTIVSg25k,all_writes_to_diag_targets,19,4
case_ACTIVSg25k,all_writes_to_offdiag_targets,1,226932
case_ACTIVSg500,all_atomic_writes,1,4444
case_ACTIVSg500,all_atomic_writes,3,875
case_ACTIVSg500,all_atomic_writes,4,88
case_ACTIVSg500,all_atomic_writes,5,528
case_ACTIVSg500,all_atomic_writes,6,124
case_ACTIVSg500,all_atomic_writes,7,96
case_ACTIVSg500,all_atomic_writes,8,48
case_ACTIVSg500,all_atomic_writes,9,36
case_ACTIVSg500,all_atomic_writes,10,16
case_ACTIVSg500,all_atomic_writes,11,8
case_ACTIVSg500,all_atomic_writes,12,4
case_ACTIVSg500,all_atomic_writes,16,8
case_ACTIVSg500,map_writes_only,1,6275
case_ACTIVSg500,diag_writes_only,2,875
case_ACTIVSg500,diag_writes_only,3,88
case_ACTIVSg500,diag_writes_only,4,528
case_ACTIVSg500,diag_writes_only,5,124
case_ACTIVSg500,diag_writes_only,6,96
case_ACTIVSg500,diag_writes_only,7,48
case_ACTIVSg500,diag_writes_only,8,36
case_ACTIVSg500,diag_writes_only,9,16
case_ACTIVSg500,diag_writes_only,10,8
case_ACTIVSg500,diag_writes_only,11,4
case_ACTIVSg500,diag_writes_only,15,8
case_ACTIVSg500,all_writes_to_diag_targets,3,875
case_ACTIVSg500,all_writes_to_diag_targets,4,88
case_ACTIVSg500,all_writes_to_diag_targets,5,528
case_ACTIVSg500,all_writes_to_diag_targets,6,124
case_ACTIVSg500,all_writes_to_diag_targets,7,96
case_ACTIVSg500,all_writes_to_diag_targets,8,48
case_ACTIVSg500,all_writes_to_diag_targets,9,36
case_ACTIVSg500,all_writes_to_diag_targets,10,16
case_ACTIVSg500,all_writes_to_diag_targets,11,8
case_ACTIVSg500,all_writes_to_diag_targets,12,4
case_ACTIVSg500,all_writes_to_diag_targets,16,8
case_ACTIVSg500,all_writes_to_offdiag_targets,1,4444
case_ACTIVSg70k,all_atomic_writes,1,638244
case_ACTIVSg70k,all_atomic_writes,3,74024
case_ACTIVSg70k,all_atomic_writes,4,63571
case_ACTIVSg70k,all_atomic_writes,5,78471
case_ACTIVSg70k,all_atomic_writes,6,30894
case_ACTIVSg70k,all_atomic_writes,7,10261
case_ACTIVSg70k,all_atomic_writes,8,3197
case_ACTIVSg70k,all_atomic_writes,9,1012
case_ACTIVSg70k,all_atomic_writes,10,600
case_ACTIVSg70k,all_atomic_writes,11,228
case_ACTIVSg70k,all_atomic_writes,12,32
case_ACTIVSg70k,all_atomic_writes,13,8
case_ACTIVSg70k,all_atomic_writes,14,8
case_ACTIVSg70k,all_atomic_writes,15,4
case_ACTIVSg70k,all_atomic_writes,18,4
case_ACTIVSg70k,map_writes_only,1,900558
case_ACTIVSg70k,diag_writes_only,2,74024
case_ACTIVSg70k,diag_writes_only,3,63571
case_ACTIVSg70k,diag_writes_only,4,78471
case_ACTIVSg70k,diag_writes_only,5,30894
case_ACTIVSg70k,diag_writes_only,6,10261
case_ACTIVSg70k,diag_writes_only,7,3197
case_ACTIVSg70k,diag_writes_only,8,1012
case_ACTIVSg70k,diag_writes_only,9,600
case_ACTIVSg70k,diag_writes_only,10,228
case_ACTIVSg70k,diag_writes_only,11,32
case_ACTIVSg70k,diag_writes_only,12,8
case_ACTIVSg70k,diag_writes_only,13,8
case_ACTIVSg70k,diag_writes_only,14,4
case_ACTIVSg70k,diag_writes_only,17,4
case_ACTIVSg70k,all_writes_to_diag_targets,3,74024
case_ACTIVSg70k,all_writes_to_diag_targets,4,63571
case_ACTIVSg70k,all_writes_to_diag_targets,5,78471
case_ACTIVSg70k,all_writes_to_diag_targets,6,30894
case_ACTIVSg70k,all_writes_to_diag_targets,7,10261
