q,p,fsz,nc,uc,level,parent,asm_len,extend_elems
160,7665,6,2,4,0,7714,4,16
161,7666,6,2,4,0,7710,4,16
162,7667,6,2,4,0,7690,4,16
163,7668,6,2,4,0,7691,4,16
164,7669,6,2,4,0,7697,4,16
165,7670,6,2,4,0,7713,4,16
166,7671,6,2,4,0,7692,4,16
167,7672,6,2,4,0,7693,4,16
168,7673,6,2,4,0,7708,4,16
169,7674,6,2,4,0,7704,4,16
170,7675,6,2,4,0,7693,4,16
171,7717,6,2,4,0,8027,4,16
172,7718,4,2,2,0,7887,2,4
173,7719,4,2,2,0,8028,2,4
174,7720,6,2,4,0,7770,4,16
175,7721,6,2,4,0,7770,4,16
176,7722,6,2,4,0,7807,4,16
177,7723,6,2,4,0,7771,4,16
178,7724,6,2,4,0,7787,4,16
179,7725,6,2,4,0,7772,4,16
180,7726,6,2,4,0,7788,4,16
181,7727,6,2,4,0,7773,4,16
182,7728,4,2,2,0,7771,2,4
183,7729,3,1,2,0,7770,2,4
184,7730,3,1,2,0,7808,2,4
185,7731,3,1,2,0,7808,2,4
186,7732,3,1,2,0,7789,2,4
187,7733,3,1,2,0,7789,2,4
188,7734,3,1,2,0,7789,2,4
189,7735,3,1,2,0,7788,2,4
190,7736,3,1,2,0,7771,2,4
191,7737,8,2,6,0,7774,6,36
192,7738,6,2,4,0,7804,4,16
193,7739,6,2,4,0,7775,4,16
194,7740,6,2,4,0,7782,4,16
195,7741,6,2,4,0,7800,4,16
196,7742,6,2,4,0,7776,4,16
197,7743,6,2,4,0,7777,4,16
198,7744,6,2,4,0,7777,4,16
199,7745,6,2,4,0,7778,4,16
200,7746,6,2,4,0,7794,4,16
201,7747,6,2,4,0,7771,4,16
202,7748,6,2,4,0,7798,4,16
203,7749,6,2,4,0,7785,4,16
204,7750,6,2,4,0,7800,4,16
205,7751,6,2,4,0,7779,4,16
206,7752,6,2,4,0,7780,4,16
207,7753,6,2,4,0,7781,4,16
208,7754,6,2,4,0,7782,4,16
209,7755,6,2,4,0,7784,4,16
210,7756,6,2,4,0,7786,4,16
211,7757,6,2,4,0,7783,4,16
212,7758,6,2,4,0,7802,4,16
213,7759,6,2,4,0,7772,4,16
214,7760,6,2,4,0,7794,4,16
215,7761,6,2,4,0,7795,4,16
216,7762,6,2,4,0,7790,4,16
217,7763,6,2,4,0,7796,4,16
218,7764,6,2,4,0,7783,4,16
219,7765,6,2,4,0,7784,4,16
220,7766,6,2,4,0,7785,4,16
221,7767,6,2,4,0,7799,4,16
222,7768,6,2,4,0,7786,4,16
223,7769,6,2,4,0,7787,4,16
224,7801,10,2,8,0,7804,8,64
225,7809,4,2,2,0,8028,2,4
226,7810,3,1,2,0,8812,2,4
227,7811,6,2,4,0,7859,4,16
228,7812,6,2,4,0,7858,4,16
229,7813,6,2,4,0,7860,4,16
230,7814,6,2,4,0,7866,4,16
231,7815,6,2,4,0,7861,4,16
232,7816,6,2,4,0,7864,4,16
233,7817,6,2,4,0,7873,4,16
234,7818,6,2,4,0,7858,4,16
235,7819,6,2,4,0,7870,4,16
236,7820,6,2,4,0,7870,4,16
237,7821,6,2,4,0,7884,4,16
238,7822,3,1,2,0,7865,2,4
239,7823,3,1,2,0,7865,2,4
240,7824,3,1,2,0,7865,2,4
241,7825,3,1,2,0,7863,2,4
242,7826,3,1,2,0,7863,2,4
243,7827,3,1,2,0,7863,2,4
244,7828,3,1,2,0,7863,2,4
245,7829,3,1,2,0,7863,2,4
246,7830,3,1,2,0,7863,2,4
247,7831,3,1,2,0,7862,2,4
248,7832,3,1,2,0,7884,2,4
249,7833,3,1,2,0,7884,2,4
250,7834,3,1,2,0,7884,2,4
251,7835,10,2,8,0,7876,8,64
252,7836,8,2,6,0,7863,6,36
253,7837,6,2,4,0,7868,4,16
254,7838,6,2,4,0,7864,4,16
255,7839,6,2,4,0,7871,4,16
256,7840,6,2,4,0,7875,4,16
257,7841,6,2,4,0,7872,4,16
258,7842,6,2,4,0,7884,4,16
259,7843,6,2,4,0,7885,4,16
260,7844,6,2,4,0,7884,4,16
261,7845,6,2,4,0,7865,4,16
262,7846,6,2,4,0,7881,4,16
263,7847,6,2,4,0,7873,4,16
264,7848,6,2,4,0,7886,4,16
265,7849,6,2,4,0,7874,4,16
266,7850,6,2,4,0,7880,4,16
267,7851,6,2,4,0,7887,4,16
268,7852,6,2,4,0,7870,4,16
269,7853,6,2,4,0,7884,4,16
270,7854,6,2,4,0,7878,4,16
271,7855,6,2,4,0,7882,4,16
272,7856,6,2,4,0,7866,4,16
273,7857,6,2,4,0,7880,4,16
274,7883,8,2,6,0,7887,6,36
275,7888,3,1,2,0,8811,2,4
276,7889,3,1,2,0,8027,2,4
277,7890,8,2,6,0,7938,6,36
278,7891,6,2,4,0,7944,4,16
279,7892,6,2,4,0,7961,4,16
280,7893,6,2,4,0,7942,4,16
281,7894,6,2,4,0,7939,4,16
282,7895,6,2,4,0,7940,4,16
283,7896,3,1,2,0,7941,2,4
284,7897,3,1,2,0,7945,2,4
285,7898,3,1,2,0,7945,2,4
286,7899,3,1,2,0,7945,2,4
287,7900,3,1,2,0,7960,2,4
288,7901,3,1,2,0,7960,2,4
289,7902,3,1,2,0,7960,2,4
290,7903,3,1,2,0,7943,2,4
291,7904,3,1,2,0,7942,2,4
292,7905,3,1,2,0,7942,2,4
293,7906,3,1,2,0,7943,2,4
294,7907,3,1,2,0,7943,2,4
295,7908,3,1,2,0,7943,2,4
296,7909,3,1,2,0,7943,2,4
297,7910,3,1,2,0,7950,2,4
298,7911,3,1,2,0,7937,2,4
299,7912,3,1,2,0,7937,2,4
300,7913,3,1,2,0,7950,2,4
301,7914,3,1,2,0,7936,2,4
302,7915,3,1,2,0,7936,2,4
303,7916,3,1,2,0,7936,2,4
304,7917,3,1,2,0,7936,2,4
305,7918,3,1,2,0,7936,2,4
306,7919,3,1,2,0,7936,2,4
307,7920,3,1,2,0,7937,2,4
308,7921,3,1,2,0,7950,2,4
309,7922,3,1,2,0,7952,2,4
310,7923,3,1,2,0,7952,2,4
311,7924,3,1,2,0,7952,2,4
312,7925,6,2,4,0,7947,4,16
313,7926,6,2,4,0,7946,4,16
314,7927,6,2,4,0,7944,4,16
315,7928,6,2,4,0,7958,4,16
316,7929,6,2,4,0,7953,4,16
317,7930,6,2,4,0,7958,4,16
318,7931,6,2,4,0,7959,4,16
319,7932,6,2,4,0,7958,4,16
320,7933,6,2,4,0,7954,4,16
321,7934,6,2,4,0,7956,4,16
322,7935,6,2,4,0,7954,4,16
323,7962,3,1,2,0,8027,2,4
324,7963,3,1,2,0,8027,2,4
325,7964,3,1,2,0,8027,2,4
326,7965,6,2,4,0,7999,4,16
327,7966,6,2,4,0,8006,4,16
328,7967,6,2,4,0,8006,4,16
329,7968,6,2,4,0,8001,4,16
330,7969,6,2,4,0,8005,4,16
331,7970,6,2,4,0,8003,4,16
332,7971,6,2,4,0,8000,4,16
333,7972,4,2,2,0,8001,2,4
334,7973,3,1,2,0,8009,2,4
335,7974,3,1,2,0,8009,2,4
336,7975,3,1,2,0,8013,2,4
337,7976,3,1,2,0,8002,2,4
338,7977,3,1,2,0,8002,2,4
339,7978,3,1,2,0,8012,2,4
340,7979,3,1,2,0,8020,2,4
341,7980,3,1,2,0,8004,2,4
342,7981,6,2,4,0,8024,4,16
343,7982,6,2,4,0,8020,4,16
344,7983,6,2,4,0,8006,4,16
345,7984,6,2,4,0,8007,4,16
346,7985,6,2,4,0,8008,4,16
347,7986,6,2,4,0,8017,4,16
348,7987,6,2,4,0,8018,4,16
349,7988,6,2,4,0,8008,4,16
350,7989,6,2,4,0,8014,4,16
351,7990,6,2,4,0,8009,4,16
352,7991,6,2,4,0,8010,4,16
353,7992,6,2,4,0,8010,4,16
354,7993,6,2,4,0,8019,4,16
355,7994,6,2,4,0,8003,4,16
356,7995,6,2,4,0,8016,4,16
357,7996,6,2,4,0,8019,4,16
358,7997,6,2,4,0,8011,4,16
359,7998,6,2,4,0,8004,4,16
360,8021,8,2,6,0,8024,6,36
361,8022,8,2,6,0,8026,6,36
362,8029,3,1,2,0,8811,2,4
363,8030,3,1,2,0,8811,2,4
364,8031,8,2,6,0,8091,6,36
365,8032,6,2,4,0,8120,4,16
366,8033,6,4,2,0,8120,2,4
367,8034,6,2,4,0,8106,4,16
368,8035,6,2,4,0,8116,4,16
369,8036,6,2,4,0,8092,4,16
370,8037,6,2,4,0,8083,4,16
371,8038,6,2,4,0,8123,4,16
372,8039,4,2,2,0,8104,2,4
373,8040,4,2,2,0,8084,2,4
374,8041,4,2,2,0,8101,2,4
375,8042,4,2,2,0,8111,2,4
376,8043,3,1,2,0,8085,2,4
377,8044,3,1,2,0,8085,2,4
378,8045,3,1,2,0,8093,2,4
379,8046,3,1,2,0,8115,2,4
380,8047,3,1,2,0,8093,2,4
381,8048,3,1,2,0,8108,2,4
382,8049,3,1,2,0,8089,2,4
383,8050,3,1,2,0,8089,2,4
384,8051,3,1,2,0,8108,2,4
385,8052,3,1,2,0,8108,2,4
386,8053,3,1,2,0,8087,2,4
387,8054,3,1,2,0,8086,2,4
388,8055,3,1,2,0,8106,2,4
389,8056,3,1,2,0,8087,2,4
390,8057,8,2,6,0,8105,6,36
391,8058,8,2,6,0,8094,6,36
392,8059,8,2,6,0,8088,6,36
393,8060,6,2,4,0,8111,4,16
394,8061,6,2,4,0,8112,4,16
395,8062,6,2,4,0,8095,4,16
396,8063,6,2,4,0,8088,4,16
397,8064,6,2,4,0,8096,4,16
398,8065,6,2,4,0,8117,4,16
399,8066,6,2,4,0,8120,4,16
400,8067,6,2,4,0,8097,4,16
401,8068,6,2,4,0,8108,4,16
402,8069,6,2,4,0,8106,4,16
403,8070,6,2,4,0,8090,4,16
404,8071,6,2,4,0,8100,4,16
405,8072,6,2,4,0,8089,4,16
406,8073,6,2,4,0,8119,4,16
407,8074,6,2,4,0,8098,4,16
408,8075,6,2,4,0,8090,4,16
409,8076,6,2,4,0,8110,4,16
410,8077,6,2,4,0,8113,4,16
411,8078,6,2,4,0,8103,4,16
412,8079,6,2,4,0,8099,4,16
413,8080,6,2,4,0,8105,4,16
414,8081,6,2,4,0,8114,4,16
415,8082,6,2,4,0,8100,4,16
416,8124,6,4,2,0,8222,2,4
417,8125,6,2,4,0,8221,4,16
418,8126,4,2,2,0,8221,2,4
419,8127,4,2,2,0,8221,2,4
420,8128,4,2,2,0,8221,2,4
421,8130,3,1,2,0,8221,2,4
422,8131,3,1,2,0,8221,2,4
423,8132,3,1,2,0,8221,2,4
424,8133,3,1,2,0,8221,2,4
425,8134,3,1,2,0,8221,2,4
426,8135,3,1,2,0,8812,2,4
427,8136,3,1,2,0,8812,2,4
428,8137,8,2,6,0,8209,6,36
429,8138,8,2,6,0,8203,6,36
430,8139,6,4,2,0,8206,2,4
431,8140,6,4,2,0,8219,2,4
432,8141,6,2,4,0,8219,4,16
433,8142,6,2,4,0,8204,4,16
434,8143,6,2,4,0,8216,4,16
435,8144,6,2,4,0,8199,4,16
436,8145,6,4,2,0,8219,2,4
437,8146,6,2,4,0,8200,4,16
438,8147,6,2,4,0,8218,4,16
439,8148,6,2,4,0,8201,4,16
440,8149,6,2,4,0,8208,4,16
441,8150,6,4,2,0,8220,2,4
442,8151,5,3,2,0,8221,2,4
443,8152,3,1,2,0,8219,2,4
444,8153,3,1,2,0,8219,2,4
445,8154,3,1,2,0,8219,2,4
446,8155,3,1,2,0,8203,2,4
447,8156,3,1,2,0,8203,2,4
448,8157,3,1,2,0,8203,2,4
449,8158,3,1,2,0,8203,2,4
450,8159,3,1,2,0,8203,2,4
451,8160,3,1,2,0,8196,2,4
452,8161,3,1,2,0,8196,2,4
453,8162,3,1,2,0,8196,2,4
454,8163,3,1,2,0,8196,2,4
455,8164,3,1,2,0,8196,2,4
456,8165,3,1,2,0,8196,2,4
457,8166,3,1,2,0,8196,2,4
458,8167,3,1,2,0,8196,2,4
459,8168,3,1,2,0,8197,2,4
460,8169,3,1,2,0,8197,2,4
461,8170,3,1,2,0,8198,2,4
462,8171,3,1,2,0,8198,2,4
463,8172,3,1,2,0,8198,2,4
464,8173,3,1,2,0,8198,2,4
465,8174,3,1,2,0,8198,2,4
466,8175,3,1,2,0,8198,2,4
467,8176,10,2,8,0,8208,8,64
468,8177,8,2,6,0,8210,6,36
469,8178,6,2,4,0,8211,4,16
470,8179,8,4,4,0,8202,4,16
471,8180,6,2,4,0,8203,4,16
472,8181,6,2,4,0,8203,4,16
473,8182,6,2,4,0,8207,4,16
474,8183,6,2,4,0,8205,4,16
475,8184,6,2,4,0,8219,4,16
476,8185,6,2,4,0,8212,4,16
477,8186,6,2,4,0,8204,4,16
478,8187,6,2,4,0,8208,4,16
479,8188,6,2,4,0,8207,4,16
480,8189,6,2,4,0,8213,4,16
481,8190,6,2,4,0,8217,4,16
482,8191,6,2,4,0,8219,4,16
483,8192,6,2,4,0,8214,4,16
484,8193,6,2,4,0,8220,4,16
485,8194,6,2,4,0,8221,4,16
486,8195,6,2,4,0,8216,4,16
487,8223,6,2,4,0,8290,4,16
488,8224,6,2,4,0,8270,4,16
489,8225,6,2,4,0,8283,4,16
490,8226,6,2,4,0,8271,4,16
491,8227,6,2,4,0,8290,4,16
492,8228,4,2,2,0,8293,2,4
493,8229,4,2,2,0,8272,2,4
494,8230,4,2,2,0,8293,2,4
495,8231,3,1,2,0,8273,2,4
496,8232,3,1,2,0,8273,2,4
497,8233,3,1,2,0,8274,2,4
498,8234,3,1,2,0,8287,2,4
499,8235,3,1,2,0,8275,2,4
500,8236,3,1,2,0,8287,2,4
501,8237,3,1,2,0,8287,2,4
502,8238,3,1,2,0,8287,2,4
503,8239,3,1,2,0,8287,2,4
504,8240,3,1,2,0,8275,2,4
505,8241,3,1,2,0,8287,2,4
506,8242,3,1,2,0,8287,2,4
507,8243,3,1,2,0,8287,2,4
508,8244,3,1,2,0,8287,2,4
509,8245,3,1,2,0,8287,2,4
510,8246,3,1,2,0,8275,2,4
511,8247,3,1,2,0,8276,2,4
512,8248,3,1,2,0,8294,2,4
513,8249,3,1,2,0,8294,2,4
514,8250,3,1,2,0,8294,2,4
515,8251,3,1,2,0,8294,2,4
516,8252,3,1,2,0,8294,2,4
517,8253,3,1,2,0,8294,2,4
518,8254,3,1,2,0,8294,2,4
519,8255,3,1,2,0,8294,2,4
520,8256,3,1,2,0,8294,2,4
521,8257,3,1,2,0,8294,2,4
522,8258,3,1,2,0,8277,2,4
523,8259,3,1,2,0,8277,2,4
524,8260,3,1,2,0,8278,2,4
525,8261,6,2,4,0,8290,4,16
526,8262,6,2,4,0,8284,4,16
527,8263,6,2,4,0,8279,4,16
528,8264,6,2,4,0,8285,4,16
529,8265,6,2,4,0,8291,4,16
530,8266,6,2,4,0,8280,4,16
531,8267,6,2,4,0,8281,4,16
532,8268,6,2,4,0,8282,4,16
533,8269,6,2,4,0,8292,4,16
534,8299,8,2,6,0,8347,6,36
535,8300,6,2,4,0,8335,4,16
536,8301,6,2,4,0,8348,4,16
537,8302,6,2,4,0,8336,4,16
538,8303,6,2,4,0,8351,4,16
539,8304,6,2,4,0,8335,4,16
540,8305,6,2,4,0,8341,4,16
541,8306,6,2,4,0,8351,4,16
542,8307,6,2,4,0,8352,4,16
543,8308,4,2,2,0,8348,2,4
544,8309,4,2,2,0,8348,2,4
545,8310,6,2,4,0,8337,4,16
546,8311,6,2,4,0,8338,4,16
547,8312,4,2,2,0,8348,2,4
548,8313,4,2,2,0,8348,2,4
549,8314,3,1,2,0,8345,2,4
550,8315,3,1,2,0,8345,2,4
551,8316,3,1,2,0,8348,2,4
552,8317,10,2,8,0,8351,8,64
553,8318,8,2,6,0,8338,6,36
554,8319,8,2,6,0,8342,6,36
555,8320,6,2,4,0,8343,4,16
556,8321,6,2,4,0,8350,4,16
557,8322,6,2,4,0,8341,4,16
558,8323,6,2,4,0,8341,4,16
559,8324,6,2,4,0,8344,4,16
560,8325,6,2,4,0,8345,4,16
561,8326,6,2,4,0,8353,4,16
562,8327,6,2,4,0,8346,4,16
563,8328,6,2,4,0,8348,4,16
564,8329,6,2,4,0,8339,4,16
565,8330,6,2,4,0,8348,4,16
566,8331,6,2,4,0,8353,4,16
567,8332,6,2,4,0,8339,4,16
568,8333,3,1,2,0,8353,2,4
569,8334,3,1,2,0,8353,2,4
570,8355,6,2,4,0,8483,4,16
571,8356,6,2,4,0,8406,4,16
572,8357,6,2,4,0,8407,4,16
573,8358,6,2,4,0,8384,4,16
574,8359,3,1,2,0,8403,2,4
575,8360,3,1,2,0,8406,2,4
576,8361,3,1,2,0,8385,2,4
577,8362,3,1,2,0,8385,2,4
578,8363,8,2,6,0,8386,6,36
579,8364,6,2,4,0,8387,4,16
580,8365,6,2,4,0,8388,4,16
581,8366,6,2,4,0,8389,4,16
582,8367,6,2,4,0,8390,4,16
583,8368,6,2,4,0,8403,4,16
584,8369,6,2,4,0,8391,4,16
585,8370,6,2,4,0,8399,4,16
586,8371,6,2,4,0,8392,4,16
587,8372,6,2,4,0,8393,4,16
588,8373,6,2,4,0,8397,4,16
589,8374,6,2,4,0,8398,4,16
590,8375,6,2,4,0,8401,4,16
591,8376,6,2,4,0,8394,4,16
592,8377,6,2,4,0,8395,4,16
593,8378,6,2,4,0,8385,4,16
594,8379,6,2,4,0,8395,4,16
595,8380,6,2,4,0,8385,4,16
596,8381,6,2,4,0,8402,4,16
597,8382,4,2,2,0,8406,2,4
598,8383,3,1,2,0,8406,2,4
599,8408,6,4,2,0,8483,2,4
600,8409,3,1,2,0,8811,2,4
601,8410,3,1,2,0,8483,2,4
602,8411,3,1,2,0,8483,2,4
603,8412,8,2,6,0,8455,6,36
604,8413,6,2,4,0,8450,4,16
605,8414,6,2,4,0,8451,4,16
606,8415,6,2,4,0,8456,4,16
607,8416,6,2,4,0,8453,4,16
608,8417,3,1,2,0,8452,2,4
609,8418,3,1,2,0,8452,2,4
610,8419,3,1,2,0,8453,2,4
611,8420,3,1,2,0,8462,2,4
612,8421,3,1,2,0,8462,2,4
613,8422,3,1,2,0,8462,2,4
614,8423,3,1,2,0,8449,2,4
615,8424,3,1,2,0,8449,2,4
616,8425,3,1,2,0,8478,2,4
617,8426,3,1,2,0,8454,2,4
618,8427,3,1,2,0,8478,2,4
619,8428,3,1,2,0,8454,2,4
620,8429,8,2,6,0,8467,6,36
621,8430,6,2,4,0,8471,4,16
622,8431,6,2,4,0,8459,4,16
623,8432,6,2,4,0,8460,4,16
624,8433,8,4,4,0,8480,4,16
625,8434,6,2,4,0,8461,4,16
626,8435,6,2,4,0,8465,4,16
627,8436,6,2,4,0,8476,4,16
628,8437,6,2,4,0,8462,4,16
629,8438,6,2,4,0,8462,4,16
630,8439,6,2,4,0,8463,4,16
631,8440,6,2,4,0,8464,4,16
632,8441,6,2,4,0,8464,4,16
633,8442,6,2,4,0,8472,4,16
634,8443,6,2,4,0,8455,4,16
635,8444,6,2,4,0,8465,4,16
636,8445,6,2,4,0,8468,4,16
637,8446,6,2,4,0,8469,4,16
638,8447,6,2,4,0,8466,4,16
639,8448,6,2,4,0,8477,4,16
640,8484,3,1,2,0,8811,2,4
641,8485,8,2,6,0,8533,6,36
642,8486,6,2,4,0,8548,4,16
643,8487,6,2,4,0,8551,4,16
644,8488,6,2,4,0,8554,4,16
645,8489,6,4,2,0,8552,2,4
646,8490,6,2,4,0,8533,4,16
647,8491,6,2,4,0,8534,4,16
648,8492,5,3,2,0,8811,2,4
649,8493,4,2,2,0,8554,2,4
650,8494,4,2,2,0,8541,2,4
651,8495,3,1,2,0,8561,2,4
652,8496,3,1,2,0,8561,2,4
653,8497,3,1,2,0,8532,2,4
654,8498,3,1,2,0,8532,2,4
655,8499,3,1,2,0,8532,2,4
656,8500,3,1,2,0,8532,2,4
657,8501,3,1,2,0,8532,2,4
658,8502,3,1,2,0,8540,2,4
659,8503,3,1,2,0,8540,2,4
660,8504,3,1,2,0,8540,2,4
661,8505,3,1,2,0,8535,2,4
662,8506,3,1,2,0,8540,2,4
663,8507,3,1,2,0,8540,2,4
664,8508,3,1,2,0,8540,2,4
665,8509,3,1,2,0,8540,2,4
666,8510,3,1,2,0,8540,2,4
667,8511,3,1,2,0,8536,2,4
668,8512,3,1,2,0,8536,2,4
669,8513,8,2,6,0,8537,6,36
670,8514,8,2,6,0,8538,6,36
671,8515,8,2,6,0,8541,6,36
672,8516,6,2,4,0,8542,4,16
673,8517,6,2,4,0,8538,4,16
674,8518,6,2,4,0,8556,4,16
675,8519,6,2,4,0,8554,4,16
676,8520,6,2,4,0,8543,4,16
677,8521,6,2,4,0,8548,4,16
678,8522,6,2,4,0,8549,4,16
679,8523,6,2,4,0,8557,4,16
680,8524,6,2,4,0,8561,4,16
681,8525,6,2,4,0,8544,4,16
682,8526,6,2,4,0,8545,4,16
683,8527,6,2,4,0,8556,4,16
684,8528,6,2,4,0,8536,4,16
685,8529,6,2,4,0,8546,4,16
686,8530,6,2,4,0,8547,4,16
687,8531,6,2,4,0,8550,4,16
688,8562,6,2,4,0,8646,4,16
689,8563,6,2,4,0,8811,4,16
690,8564,3,1,2,0,8811,2,4
691,8565,8,2,6,0,8639,6,36
692,8566,6,4,2,0,8643,2,4
693,8567,6,2,4,0,8613,4,16
694,8568,6,2,4,0,8618,4,16
695,8569,6,2,4,0,8638,4,16
696,8570,6,2,4,0,8631,4,16
