case,dataset_case,n_bus,n_pv,n_pq,dimF,ybus_nnz,ybus_struct_asym_nnz,cupf_pattern_nnz,cupf_pattern_struct_asym_nnz,lift_pattern_nnz,lift_pattern_struct_asym_nnz,lift_vs_cupf_xor_nnz,dump_exists,dump_dim,dump_nnz,dump_pattern_struct_asym_nnz,dump_pattern_vs_cupf_xor_nnz,dump_value_asym_inf,eig_status,raw_spd,sympart_min_eig,sympart_max_eig,sympart_spd,normal_min_eig,normal_max_eig,normal_spd,normal_cond
case2000_goc,pglib_opf_case2000_goc,2000,177,1822,3821,7612,0,29095,0,29095,0,0,True,3821,29095,0,0,821.2077941894531,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case200_activ,pglib_opf_case200_activ,200,37,162,361,690,0,2489,0,2489,0,0,True,361,2489,0,0,363.8492736816406,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case20758_epigrids,pglib_opf_case20758_epigrids,20758,766,19991,40748,78550,0,302486,0,302486,0,0,True,40748,302486,0,0,39711.37109375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2312_goc,pglib_opf_case2312_goc,2312,219,2092,4403,7972,0,29299,0,29299,0,0,True,4403,29299,0,0,4839.715087890625,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2383wp_k,pglib_opf_case2383wp_k,2383,326,2056,4438,8155,0,27874,0,27874,0,0,True,4438,27874,0,0,4067.7574462890625,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case240_pserc,pglib_opf_case240_pserc,240,52,187,426,936,0,3368,0,3368,0,0,True,426,3368,0,0,3803.6500244140625,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case24464_goc,pglib_opf_case24464_goc,24464,682,23781,48244,93850,0,364342,0,364342,0,0,True,48244,364342,0,0,17743.060546875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case24_ieee_rts,pglib_opf_case24_ieee_rts,24,10,13,36,92,0,222,0,222,0,0,True,36,222,0,0,36.4053955078125,computed,False,1.3170641245882555,243.02766646325875,True,1.7441166077840573,59378.4302838897,True,34044.98874609734
case2736sp_k,pglib_opf_case2736sp_k,2736,233,2502,5237,9262,0,33715,0,33715,0,0,True,5237,33715,0,0,6785.58154296875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2737sop_k,pglib_opf_case2737sop_k,2737,192,2544,5280,9263,0,34242,0,34242,0,0,True,5280,34242,0,0,6785.58154296875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2742_goc,pglib_opf_case2742_goc,2742,50,2691,5432,10752,0,42084,0,42084,0,0,True,5432,42084,0,0,5073.297119140625,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2746wop_k,pglib_opf_case2746wop_k,2746,349,2396,5141,9344,0,32445,0,32445,0,0,True,5141,32445,0,0,9415.7255859375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2746wp_k,pglib_opf_case2746wp_k,2746,363,2382,5127,9292,0,32129,0,32129,0,0,True,5127,32129,0,0,9415.7255859375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2848_rte,pglib_opf_case2848_rte,2848,369,2478,5325,9732,0,36089,0,36089,0,0,True,5325,36089,0,0,20749.873046875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2853_sdet,pglib_opf_case2853_sdet,2853,798,2054,4906,10123,0,32752,0,32752,0,0,True,4906,32752,0,0,20003.375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2868_rte,pglib_opf_case2868_rte,2868,412,2455,5322,9810,0,36102,0,36102,0,0,True,5322,36102,0,0,20749.873046875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case2869_pegase,pglib_opf_case2869_pegase,2869,509,2359,5227,10805,0,36591,0,36591,0,0,True,5227,36591,0,0,16065.501953125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case30000_goc,pglib_opf_case30000_goc,30000,2277,27722,57721,100466,0,381091,0,381091,0,0,True,57721,381091,0,0,1989.9796142578125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case300_ieee,pglib_opf_case300_ieee,300,68,231,530,1118,0,3736,0,3736,0,0,True,530,3736,0,0,1000.5962219238281,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case3012wp_k,pglib_opf_case3012wp_k,3012,297,2714,5725,10144,0,36263,0,36263,0,0,True,5725,36263,0,0,7791.127685546875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case3022_goc,pglib_opf_case3022_goc,3022,318,2703,5724,10756,0,39596,0,39596,0,0,True,5724,39596,0,0,4732.222412109375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case30_as,pglib_opf_case30_as,30,2,27,56,112,0,406,0,406,0,0,True,56,406,0,0,45.51408767700195,computed,False,0.22529859689624931,104.87047400598094,True,0.05481625799155024,11865.203639758553,True,216454.09727872227
case30_ieee,pglib_opf_case30_ieee,30,5,24,53,112,0,379,0,379,0,0,True,53,379,0,0,44.68325996398926,computed,False,0.22986367117426307,104.9452034061008,True,0.05578889623097689,11848.863583051485,True,212387.4889726243
case3120sp_k,pglib_opf_case3120sp_k,3120,247,2872,5991,10488,0,38329,0,38329,0,0,True,5991,38329,0,0,7791.127685546875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case3375wp_k,pglib_opf_case3375wp_k,3374,391,2982,6355,11510,0,40717,0,40717,0,0,True,6355,40717,0,0,7791.127685546875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case3970_goc,pglib_opf_case3970_goc,3970,122,3847,7816,15394,0,59560,0,59560,0,0,True,7816,59560,0,0,1113.0249633789062,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case39_epri,pglib_opf_case39_epri,39,9,29,67,131,0,445,0,445,0,0,True,67,445,0,0,129.2914047241211,computed,False,0.649040332228582,1024.3996366964022,True,0.4233252860296581,1055296.850146423,True,2492874.5930676325
case3_lmbd,pglib_opf_case3_lmbd,3,2,0,2,9,0,4,0,4,0,0,True,2,4,0,0,0.0,computed,True,1.3299856454632584,4.037786218474119,True,1.7688618171383212,16.303717546099527,True,9.217066809930813
case4020_goc,pglib_opf_case4020_goc,4020,88,3931,7950,16198,0,63202,0,63202,0,0,True,7950,63202,0,0,1393.4228515625,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case4601_goc,pglib_opf_case4601_goc,4601,132,4468,9068,17211,0,66674,0,66674,0,0,True,9068,66674,0,0,1071.634521484375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case4619_goc,pglib_opf_case4619_goc,4619,129,4489,9107,19293,0,74817,0,74817,0,0,True,9107,74817,0,0,4135.51171875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case4661_sdet,pglib_opf_case4661_sdet,4661,630,4030,8690,16163,0,57134,0,57134,0,0,True,8690,57134,0,0,20076.4580078125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case4837_goc,pglib_opf_case4837_goc,4837,149,4687,9523,18081,0,69957,0,69957,0,0,True,9523,69957,0,0,2543.157958984375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case4917_goc,pglib_opf_case4917_goc,4917,552,4364,9280,17291,0,62686,0,62686,0,0,True,9280,62686,0,0,3371.473876953125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case500_goc,pglib_opf_case500_goc,500,112,387,886,1800,0,6200,0,6200,0,0,True,886,6200,0,0,510.9659118652344,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case5658_epigrids,pglib_opf_case5658_epigrids,5658,104,5553,11210,21384,0,83806,0,83806,0,0,True,11210,83806,0,0,6362.354248046875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case57_ieee,pglib_opf_case57_ieee,57,6,50,106,213,0,718,0,718,0,0,True,106,718,0,0,98.87312316894531,computed,False,0.18334911642690177,118.61911816411154,True,0.03982716838677917,19970.25298185058,True,501422.86762419716
case588_sdet,pglib_opf_case588_sdet,588,80,507,1094,1942,0,6692,0,6692,0,0,True,1094,6692,0,0,5425.293701171875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case5_pjm,pglib_opf_case5_pjm,5,3,1,5,17,0,17,0,17,0,0,True,5,17,0,0,25.382134437561035,computed,False,22.511304191487618,364.37032542077384,True,507.3507489355079,132798.93303145914,True,261.749752631862
case60_c,pglib_opf_case60_c,60,22,37,96,204,0,650,0,650,0,0,True,96,650,0,0,66.97219848632812,computed,False,-48.12920543291343,639.7952877540397,False,0.11676334907331735,409431.213001896,True,3506504.5346104996
case6468_rte,pglib_opf_case6468_rte,6468,290,6177,12644,22598,0,87932,0,87932,0,0,True,12644,87932,0,0,26729.544921875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case6470_rte,pglib_opf_case6470_rte,6470,452,6017,12486,22602,0,86492,0,86492,0,0,True,12486,86492,0,0,26729.544921875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case6495_rte,pglib_opf_case6495_rte,6495,492,6002,12496,22663,0,86374,0,86374,0,0,True,12496,86374,0,0,26729.544921875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case6515_rte,pglib_opf_case6515_rte,6515,492,6022,12536,22723,0,86648,0,86648,0,0,True,12536,86648,0,0,26729.544921875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case7336_epigrids,pglib_opf_case7336_epigrids,7336,239,7096,14431,27174,0,104763,0,104763,0,0,True,14431,104763,0,0,1208.5057373046875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case73_ieee_rts,pglib_opf_case73_ieee_rts,73,32,40,112,289,0,710,0,710,0,0,True,112,710,0,0,36.64846420288086,computed,False,0.2899964471005262,327.4360628697689,True,0.08428876578274243,107660.28833731846,True,1277279.2119749035
case78484_epigrids,pglib_opf_case78484_epigrids,78478,2038,76439,154916,294392,0,1143804,0,1143804,0,0,True,154916,1143804,0,0,16824.271484375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case793_goc,pglib_opf_case793_goc,793,88,704,1496,2601,0,9196,0,9196,0,0,True,1496,9196,0,0,3564.654296875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case8387_pegase,pglib_opf_case8387_pegase,8387,1864,6522,14908,34377,0,110572,0,110572,0,0,True,14908,110572,0,0,21234.7392578125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case89_pegase,pglib_opf_case89_pegase,89,11,77,165,501,0,1811,0,1811,0,0,True,165,1811,0,0,1379.6524658203125,computed,False,1.89178967808121,10713.047438052254,True,3.5912983302992445,115406261.34125534,True,32134969.23037277
case9241_pegase,pglib_opf_case9241_pegase,9241,1444,7796,17036,37655,0,129412,0,129412,0,0,True,17036,129412,0,0,20548.64453125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case9591_goc,pglib_opf_case9591_goc,9591,167,9423,19013,37675,0,147701,0,147701,0,0,True,19013,147701,0,0,2554.485107421875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
